id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
315443,Abomination Limb,0.000000,0,20,0,0,120.000000,
50842,Blood Boil,0.000000,0,0,0,0,0.000000,
206931,Blooddrinker,2.700000,0,30,0,1,30.000000,RUNES:1
221699,Blood Tap,0.000000,0,0,0,1,0.000000,
195181,Bone Shield,0.000000,0,0,1,0,0.000000,
194844,Bonestorm,0.000000,0,0,0,1,60.000000,RUNIC_POWER:10
274156,Consumption,0.000000,0,5,0,1,30.000000,
81141,Crimson Scourge,0.000000,0,0,1,0,0.000000,
49028,Dancing Rune Weapon,0.000000,0,30,0,0,120.000000,
43265,Death and Decay,0.000000,0,30,0,0,15.000000,RUNES:1
49998,Death Strike,0.000000,0,5,0,0,0.000000,RUNIC_POWER:45
324128,Death's Due,0.000000,0,30,0,0,15.000000,RUNES:1
206930,Heart Strike,0.000000,0,5,0,0,0.000000,RUNES:1
221536,Heartbreaker,0.000000,0,0,1,0,0.000000,
273947,Hemostasis,0.000000,0,0,1,1,0.000000,
195182,Marrowrend,0.000000,0,5,0,0,0.000000,RUNES:2
46584,Raise Dead,0.000000,0,0,0,0,30.000000,
194662,Rapid Decomposition,0.000000,0,0,1,1,0.000000,
317610,Relish in Blood,0.000000,0,0,1,1,0.000000,
327574,Sacrificial Pact,0.000000,0,0,0,0,120.000000,RUNIC_POWER:20
312202,Shackle the Unworthy,0.000000,0,30,0,0,60.000000,
311648,Swarming Mist,0.000000,0,0,0,0,60.000000,RUNES:1
219809,Tombstone,0.000000,0,0,0,1,60.000000,
108199,Gorefiends Grasp,0,0,30,0,0,120,
194878,Icy Talons,0,0,0,0,1,0,
206970,Tightening Grasp,0,0,0,0,1,0,
391477,Coagulopathy,0,0,0,0,1,0,
47568,Empower Rune Weapon,0,0,0,0,0,120,
48792,Icebound Fortitude,0,0,0,0,1,180,
55078,Blood Plague,0,0,0,0,0,0,
343294,Soul Reaper,0,0,0,0,1,6,RUNES:1
195292,Death's Caress,0,0,30,0,1,6,RUNES:1
47528,Mind Freeze,0,0,15,0,1,15,
55233,Vampiric Blood,0,0,0,0,1,90,
374265,Unholy Ground,0,0,0,0,1,0,
391458,Sanguine Ground,0,0,0,0,1,0,
377640,Shattering Bone,0,0,0,0,1,0,
377637,Insatiable Blade,0,0,0,0,1,0,
408356,Vampiric Strength,0,0,0,0,0,0,
