id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
315443,Abomination Limb,0.000000,0,20,0,0,120.000000,
48707,Anti-Magic Shell,0.000000,0,0,0,0,60.000000,
108194,Asphyxiate,0.000000,0,20,0,1,45.000000,
207142,Avalanche,0.000000,0,0,1,1,0.000000,
6945,Biting Cold,0.000000,0,0,1,0,0.000000,
207167,Blinding Sleet,0.000000,0,0,0,1,60.000000,
152279,Breath of Sindragosa,0.000000,0,0,0,1,120.000000,RUNIC_POWER:16
45524,Chains of Ice,0.000000,0,30,0,0,0.000000,RUNES:1
281208,Cold Heart,0.000000,0,0,1,1,0.000000,
111673,Control Undead,1.300000,0,30,0,0,0.000000,RUNES:1
56222,Dark Command,0.000000,0,30,0,0,8.000000,
178819,Dark Succor,0.000000,0,0,1,0,0.000000,
43265,Death and Decay,0.000000,0,30,0,0,30.000000,RUNES:1
50977,Death Gate,3.600000,0,0,0,0,60.000000,RUNES:1
49576,Death Grip,0.000000,0,30,0,0,25.000000,
48743,Death Pact,0.000000,0,0,0,1,120.000000,
49998,Death Strike,0.000000,0,0,0,0,0.000000,RUNIC_POWER:35
48265,Death's Advance,0.000000,0,0,0,0,45.000000,
324128,Death's Due,0.000000,0,30,0,0,30.000000,RUNES:1
276079,Death's Reach,0.000000,0,0,1,1,0.000000,
47568,Empower Rune Weapon,0.000000,0,0,0,0,1.800000,
83,Eradicating Blow,0.000000,0,0,1,0,0.000000,
91,Everfrost,0.000000,0,0,1,0,0.000000,
55095,Frost Fever,0.000000,0,0,1,0,0.000000,
49143,Frost Strike,0.000000,0,0,0,0,0.000000,RUNIC_POWER:25
207230,Frostscythe,0.000000,0,8,0,1,0.000000,RUNES:1
279302,Frostwyrm's Fury,0.000000,0,0,0,0,180.000000,
194909,Frozen Pulse,0.000000,0,0,1,1,0.000000,
194912,Gathering Storm,0.000000,0,0,1,1,0.000000,
194913,Glacial Advance,0.000000,0,100,0,1,5.400000,RUNIC_POWER:30
57330,Horn of Winter,0.000000,0,0,0,1,45.000000,
49184,Howling Blast,0.000000,0,30,0,0,0.000000,RUNES:1;
321995,Hypothermic Presence,0.000000,0,0,0,1,45.000000,
48792,Icebound Fortitude,0.000000,0,0,0,0,180.000000,
207126,Icecap,0.000000,0,0,1,1,0.000000,
194878,Icy Talons,0.000000,0,0,1,1,0.000000,
253593,Inexorable Assault,0.000000,0,0,1,1,0.000000,
51128,Killing Machine,0.000000,0,0,1,0,0.000000,
77514,Mastery: Frozen Heart,0.000000,0,0,1,0,0.000000,
47528,Mind Freeze,0.000000,0,15,0,0,15.000000,
207061,Murderous Efficiency,0.000000,0,0,1,1,0.000000,
49020,Obliterate,0.000000,0,0,0,0,0.000000,RUNES:2
281238,Obliteration,0.000000,0,0,1,0,0.000000,
51986,On a Pale Horse,0.000000,0,0,1,1,0.000000,
3714,Path of Frost,0.000000,0,0,0,0,0.000000,RUNES:1
207200,Permafrost,0.000000,0,0,1,1,0.000000,
6954,Phearomones,0.000000,0,0,0,0,0.000000,
51271,Pillar of Frost,0.000000,0,0,0,0,60.000000,
61999,Raise Ally,0.000000,0,40,0,0,600.000000,RUNIC_POWER:30
46585,Raise Dead,0.000000,0,0,0,0,120.000000,
51714,Razorice,0.000000,0,0,1,0,0.000000,
196770,Remorseless Winter,0.000000,0,0,0,0,20.000000,RUNES:1
59057,Rime,0.000000,0,0,1,0,0.000000,
53428,Runeforging,0.000000,0,0,0,0,0.000000,
207104,Runic Attenuation,0.000000,0,0,1,1,0.000000,
81229,Runic Empowerment,0.000000,0,0,1,0,0.000000,
327574,Sacrificial Pact,0.000000,0,0,0,0,120.000000,RUNIC_POWER:20
312202,Shackle the Unworthy,0.000000,0,30,0,0,60.000000,
311648,Swarming Mist,0.000000,0,0,0,0,60.000000,RUNES:1
122,Unleashed Frenzy,0.000000,0,0,1,0,0.000000,
48263,Veteran of the Third War,0.000000,0,0,1,0,0.000000,
212552,Wraith Walk,0.000000,0,0,0,1,60.000000,
53365,Unholy Strength,0.000000,0,0,1,0,0.000000,
305392,Chill Streak,0,0,40,0,1,45,RUNES:1;RUNIC_POWER:10
317214,Frostreaper,0,0,0,0,0,0,
374383,Assimilation,0,0,0,0,1,0,
377047,Absolute Zero,0,0,0,0,1,0,
377073,Frigid Executioner,0,0,0,0,1,0,
392950,Icebreaker,0,0,0,0,1,0,
81333,Might Of The Frozen Wastes,0,0,0,0,0,0,
377076,Rage Of The Frozen Champion,0,0,0,0,1,0,
343294,Soul Reaper,0,0,0,0,1,6,RUNES:1
51052,Anti-Magic Zone,0,0,0,0,1,120,
207057,Shattering Blade,0,0,0,0,1,0,
317195,Improved Obliterate,0,0,0,0,1,0,
316916,Cleaving Strikes,0,0,0,0,1,0,
195617,Frost Fever Superstrain,0,0,0,0,0,0,
