id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
390268,Eternal Agony,0,0,0,1,1,0,
377537,Death Rot,0,0,0,1,1,0,
152280,Defile,0,0,30,0,1,20,RUNES:1;RUNIC_POWER:-10;
391571,Gloom Ward,0,0,0,1,1,0,
390270,Coil of Devastation,0,0,0,1,1,0,
390175,Plaguebringer,0,0,0,1,1,0,
51052,Anti-Magic Zone,0,0,30,0,1,120,
207272,Infected Claws,0,0,0,1,1,0,
374111,Might of Thassarian,0,0,0,1,1,0,
111673,Control Undead,1260,0,30,0,1,0,RUNES:1;RUNIC_POWER:-10;
47528,Mind Freeze,0,0,15,0,1,15,RUNIC_POWER:0;
316867,Improved Festering Strike,0,0,0,1,1,0,
207289,Unholy Assault,0,0,0,0,1,90,
49576,Death Grip,0,0,30,0,0,25,
85948,Festering Strike,0,0,0,0,1,0,RUNES:2;RUNIC_POWER:-20;
373923,Merciless Strikes,0,0,0,1,1,0,
48707,Anti-Magic Shell,0,0,0,0,1,60,
47568,Empower Rune Weapon,0,0,0,0,1,0,
221562,Asphyxiate,0,0,20,0,1,45,
48743,Death Pact,0,0,0,0,1,120,
373926,Acclimation,0,0,0,1,1,0,
377514,Reaping,0,0,0,1,1,0,
378848,Coldthirst,0,0,0,1,1,0,
48263,Veteran of the Third War,0,0,0,1,1,0,
374277,Improved Death Strike,0,0,0,1,1,0,
276837,Army of the Damned,0,0,0,1,1,0,
392566,Enfeeble,0,0,0,1,1,0,
327574,Sacrificial Pact,0,0,0,0,1,120,RUNIC_POWER:20;
373930,Proliferating Chill,0,0,0,1,1,0,
51462,Runic Corruption,0,0,0,1,0,0,
77515,Mastery: Dreadblade,0,0,0,1,0,0,
377580,Improved Death Coil,0,0,0,1,1,0,
389679,Clenching Grasp,0,0,0,1,1,0,
374598,Blood Draw,0,0,0,1,1,0,
51986,On a Pale Horse,0,0,0,1,0,0,
390283,Superstrain,0,0,0,1,1,0,
207167,Blinding Sleet,0,0,0,0,1,60,
316941,Unholy Command,0,0,0,1,1,0,
276079,Death's Reach,0,0,0,1,1,0,
49998,Death Strike,0,0,0,0,1,0,RUNIC_POWER:45;
207104,Runic Attenuation,0,0,0,1,1,0,
53428,Runeforging,0,0,0,0,0,0,
275699,Apocalypse,0,0,0,0,1,90,
377585,Replenishing Wounds,0,0,0,1,1,0,
389682,Unholy Endurance,0,0,0,1,1,0,
207311,Clawing Shadows,0,0,30,0,1,0,RUNES:1;RUNIC_POWER:-10;
383269,Abomination Limb,0,0,20,0,1,120,
374030,Blood Scent,0,0,0,1,1,0,
61999,Raise Ally,0,0,40,0,0,600,RUNIC_POWER:30;
49530,Sudden Doom,0,0,0,1,1,0,
207264,Bursting Sores,0,0,0,1,1,0,
377587,Ghoulish Frenzy,0,0,0,1,1,0,
3714,Path of Frost,0,0,0,0,0,0,RUNES:1;
391546,March of Darkness,0,0,0,1,1,0,
