id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
320418,Improved Sigil of Misery,0,0,0,1,1,0,
391189,Burning Wound,0,0,0,1,1,0,
232893,Felblade,0,0,15,0,1,15,
388110,Misery in Defeat,0,0,100,1,1,0,
343311,Furious Gaze,0,0,0,1,1,0,
207684,Sigil of Misery,0,0,30,0,1,120,
258881,Trail of Ruin,0,0,0,1,1,0,
388111,Demon Muzzle,0,0,0,1,1,0,
206478,Demonic Appetite,0,0,0,1,1,0,
395446,Soul Sigils,0,0,0,1,1,0,
389763,Master of the Glaive,0,0,0,1,1,0,
388113,Isolated Prey,0,0,0,1,1,0,
198589,Blur,0,0,0,0,0,60,
388114,Any Means Necessary,0,0,0,1,1,0,
206416,First Blood,0,0,0,1,1,0,
320361,Improved Disrupt,0,0,0,1,1,0,
388116,Shattered Destiny,0,0,0,1,1,0,
389799,Precise Sigils,0,0,0,1,1,0,
204909,Soul Rending,0,0,0,1,1,0,
320331,Infernal Armor,0,0,0,1,1,0,
278326,Consume Magic,0,0,30,0,1,10,
196718,Darkness,0,0,0,0,1,300,
388118,Know Your Enemy,0,0,0,1,1,0,
217832,Imprison,0,0,20,0,1,45,
370965,The Hunt,864,0,50,0,1,90,
235893,First of the Illidari,0,0,0,1,1,0,
162794,Chaos Strike,0,0,0,0,0,0,FURY:40;
198793,Vengeful Retreat,0,0,0,0,1,25,
390152,Collective Anguish,0,0,0,1,1,0,
206477,Unleashed Power,0,0,0,1,1,0,
393822,Internal Struggle,0,0,0,1,1,0,
393029,Furious Throws,0,0,0,1,1,0,
389695,Will of the Illidari,0,0,0,1,1,0,
320416,Blazing Path,0,0,0,1,1,0,
388107,Ragefire,0,0,0,1,1,0,
178940,Shattered Souls,0,0,0,1,0,0,
183782,Disrupting Fury,0,0,0,1,1,0,
131347,Glide,0,0,0,0,0,1,
211881,Fel Eruption,0,0,20,0,1,30,FURY:10;
258887,Cycle of Hatred,0,0,0,1,1,0,
390154,Serrated Glaive,0,0,0,1,1,0,
389697,Extended Sigils,0,0,0,1,1,0,
389696,Illidari Knowledge,0,0,0,1,1,0,
185164,Mastery: Demonic Presence,0,0,0,1,0,0,
320415,Looks Can Kill,0,0,0,1,1,0,
342817,Glaive Tempest,0,0,0,0,1,20,FURY:30;
390142,Restless Hunter,0,0,0,1,1,0,
258920,Immolation Aura,0,0,0,0,0,30,
213010,Charred Warblades,0,0,0,1,1,0,
196055,Double Jump,0,0,0,1,0,0,
183752,Disrupt,0,0,0,0,0,15,
204596,Sigil of Flame,0,0,30,0,1,30,
390158,Growing Inferno,0,0,0,1,1,0,
188499,Blade Dance,0,0,0,0,0,15,FURY:35;
185245,Torment,0,0,30,0,0,8,
391397,Erratic Felheart,0,0,0,1,1,0,
391429,Fodder to the Flame,0,0,0,1,1,0,
389810,Sigil of Flame,0,0,30,0,0,30,
389978,Dancing with Fate,0,0,0,1,1,0,
195072,Fel Rush,0,0,0,0,0,8,
203550,Blind Fury,0,0,0,1,1,0,
389811,Unnatural Malice,0,0,0,1,1,0,
320374,Burning Hatred,0,0,0,1,1,0,
389813,Sigil of Misery,0,0,30,0,0,120,
343206,Improved Chaos Strike,0,0,0,1,1,0,
328725,Mortal Dance,0,0,0,1,1,0,
209281,Quickened Sigils,0,0,0,1,1,0,
320635,Vengeful Bonds,0,0,0,1,1,0,
389781,Long Night,0,0,0,1,1,0,
188501,Spectral Sight,0,0,0,0,0,60,
258860,Essence Break,0,0,10,0,1,40,
213410,Demonic,0,0,0,1,1,0,
320313,Swallowed Anger,0,0,0,1,1,0,
389687,Chaos Theory,0,0,0,1,1,0,
389846,Felfire Haste,0,0,0,1,1,0,
391275,Accelerated Blade,0,0,0,1,1,0,
389783,Pitch Black,0,0,0,1,1,0,
389688,Tactical Retreat,0,0,0,1,1,0,
258876,Insatiable Hunger,0,0,0,1,1,0,
347461,Unbound Chaos,0,0,0,1,1,0,
388109,Felfire Heart,0,0,0,1,1,0,
320421,Rush of Chaos,0,0,0,1,1,0,
179057,Chaos Nova,0,0,0,0,1,60,FURY:30;
343017,Improved Fel Rush,0,0,0,1,1,0,
389824,Shattered Restoration,0,0,0,1,1,0,
390163,Elysian Decree,0,0,30,0,1,60,
389849,Lost in Darkness,0,0,0,1,1,0,
320412,Chaos Fragments,0,0,0,1,1,0,
207347,Aura of Pain,0,0,0,1,1,0,
258925,Fel Barrage,0,0,0,0,1,60,
389977,Relentless Onslaught,0,0,0,1,1,0,
320413,Critical Chaos,0,0,0,1,1,0,
198013,Eye Beam,0,0,20,0,1,40,FURY:30;
389819,Relentless Pursuit,0,0,0,1,1,0,
205411,Desperate Instincts,0,0,0,1,1,0,
206476,Momentum,0,0,0,1,1,0,
185123,Throw Glaive,0,0,30,0,0,7.783,FURY:0;
389693,Inner Demon,0,0,0,1,1,0,
388112,Chaotic Transformation,0,0,0,1,1,0,
388106,Soulrend,0,0,0,1,1,0,
207666,Concentrated Sigils,0,0,0,1,1,0,
389694,Flames of Fury,0,0,0,1,1,0,
320770,Unrestrained Fury,0,0,0,1,1,0,
391409,Aldrachi Design,0,0,0,1,1,0,
320654,Pursuit,0,0,0,1,1,0,
203555,Demon Blades,0,0,0,1,1,0,
255260,Chaos Brand,0,0,0,1,0,0,
388108,Initiative,0,0,0,1,1,0,
196555,Netherwalk,0,0,0,0,1,180,
191427,Metamorphosis,0,0,40,0,0,240,
320386,Bouncing Glaives,0,0,0,1,1,0,
278386,Demonic Wards,0,0,0,1,0,0,

201427,Annihilation,0,0,0,0,0,0,
210152,Death Sweep,0,0,0,0,0,9,FURY:30
162243,Demon's Bite,0,0,0,0,0,0,
393628,tier30_2pc,0,0,0,0,0,0,
