id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
158477,Soul of the Forest,0.000000,0,0,1,1,0.000000,
102793,Ursol's Vortex,0.000000,0,30,0,1,60.000000,
6795,Growl,0.000000,0,30,0,0,8.000000,
204066,Lunar Beam,0.000000,0,40,0,1,75.000000,
5221,Shred,0.000000,0,0,0,0,0.000000,ENERGY:40
203964,Galactic Guardian,0.000000,0,0,1,1,0.000000,
783,Travel Form,0.000000,0,0,0,0,0.000000,
192081,Ironfur,0.000000,0,0,0,0,0.500000,RAGE:40
50769,Revive,8.753000,0,40,0,0,0.000000,MANA:800
203965,Survival of the Fittest,0.000000,0,0,1,1,0.000000,
300346,Ursine Adept,0.000000,0,0,1,0,0.000000,
197492,Restoration Affinity,0.000000,0,0,1,1,0.000000,
16931,Thick Hide,0.000000,0,0,1,0,0.000000,
22842,Frenzied Regeneration,0.000000,0,0,0,0,1.000000,RAGE:10
1850,Dash,0.000000,0,0,0,0,120.000000,
102558,Incarnation: Guardian of Ursoc,0.000000,0,0,0,1,180.000000,
102558,Incarnation,0.000000,0,0,0,1,180.000000,
252216,Tiger Dash,0.000000,0,0,0,1,45.000000,
5211,Mighty Bash,0.000000,0,0,0,1,50.000000,
203974,Earthwarden,0.000000,0,0,1,1,0.000000,
202155,Feral Affinity,0.000000,0,0,1,1,0.000000,
204053,Rend and Tear,0.000000,0,0,1,1,0.000000,
231065,Lightning Reflexes,0.000000,0,0,1,0,0.000000,
210706,Gore,0.000000,0,0,1,0,0.000000,
102401,Wild Charge,0.000000,5,25,0,1,15.000000,
193753,Dreamwalk,8.753000,0,0,0,0,60.000000,MANA:20
155835,Bristling Fur,0.000000,0,0,0,1,40.000000,
768,Cat Form,0.000000,0,0,0,0,0.000000,
2908,Soothe,0.000000,0,40,0,0,10.000000,MANA:1120
276012,Aquatic Form,0.000000,0,0,1,0,0.000000,
106898,Stampeding Roar,0.000000,0,10,0,0,120.000000,
106839,Skull Bash,0.000000,0,13,0,0,15.000000,
61336,Survival Instincts,0.000000,0,0,0,0,6.000000,
106832,Thrash,0.000000,0,0,0,0,5.000000,
77758,Thrash Bear,0.000000,0,0,0,0,5.000000,
213764,Swipe,0.000000,0,8,0,0,0.000000,
213771,Swipe Bear,0.000000,0,8,0,0,0.000000,
276029,Flight Form,0.000000,0,0,1,0,0.000000,
2782,Remove Corruption,0.000000,0,40,0,0,8.000000,MANA:1300
8936,Regrowth,1.313000,0,40,0,0,0.000000,MANA:4368
20484,Rebirth,0.000000,0,40,0,0,600.000000,RAGE:30
5215,Prowl,0.000000,0,0,0,0,6.000000,
203953,Brambles,0.000000,0,0,1,1,0.000000,
339,Entangling Roots,1.488000,0,35,0,0,0.000000,MANA:1200
132469,Typhoon,0.000000,0,15,0,1,30.000000,
197488,Balance Affinity,0.000000,0,0,1,1,0.000000,
6807,Maul,0.000000,0,0,0,0,0.000000,RAGE:40
102359,Mass Entanglement,0.000000,0,30,0,1,30.000000,
80313,Pulverize,0.000000,0,0,0,1,0.000000,
22812,Barkskin,0.000000,0,0,0,0,60.000000,
33917,Mangle,0.000000,0,0,0,0,6.000000,
203962,Blood Frenzy,0.000000,0,0,1,1,0.000000,
8921,Moonfire,0.000000,0,40,0,0,0.000000,
155783,Mastery: Nature's Guardian,0.000000,0,0,1,0,0.000000,
2637,Hibernate,1.313000,0,30,0,0,0.000000,MANA:1200
99,Incapacitating Roar,0.000000,0,0,0,0,30.000000,
5487,Bear Form,0.000000,0,0,0,0,0.000000,
155578,Guardian of Elune,0.000000,0,0,1,1,0.000000,
1079,Rip,0,0,8,0,1,0,ENERGY:20;COMBO_POINTS:1
135288,Tooth And Claw,0,0,0,0,1,0,
1822,Rake,0,0,8,0,1,0,ENERGY:35
22568,Ferocious Bite,0,0,8,0,0,0,ENERGY:25
400254,Raze,0,0,8,0,1,0,RAGE:40
102558,Berserk Bear,0,0,0,0,1,0,
391528,Convoke the Spirits,0,0,0,0,1,60,
200851,Rage Of The Sleeper,0,0,0,0,1,60,
102558,Incarnation: Guardian of Ursoc,0,0,0,0,1,180,
319454,Heart of the Wild,0,0,0,0,1,300,
197625,Moonkin Form,0,0,0,0,1,0,
393618,Reinforced Fur,0,0,0,0,1,0,
400222,Thorns of Iron,0,0,0,0,1,0,
135601,Tooth and Claw Debuff,0,0,0,0,0,0,
372019,Vicious Cycle Mangle,0,0,0,0,0,0,
372015,Vicious Cycle Maul,0,0,0,0,0,0,
