id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
392302,Power of the Archdruid,0,0,0,1,1,0,
113043,Omen of Clarity,0,0,0,1,1,0,
382550,Passing Seasons,0,0,0,1,1,0,
158478,Soul of the Forest,0,0,0,1,1,0,
33891,Incarnation: Tree of Life,0,0,0,0,1,180,
382552,Improved Ironbark,0,0,0,1,1,0,
50769,Revive,7670,0,45,0,0,0,MANA:2000;
132469,Typhoon,0,0,20,0,1,30,
20484,Rebirth,1534,0,45,0,0,600,RAGE:0;MANA:5000;
131768,Feline Swiftness,0,0,0,1,1,0,
400531,Forest's Flow,0,0,0,1,1,0,
29166,Innervate,0,0,45,0,1,180,
383192,Grove Tending,0,0,0,1,1,0,
155675,Germination,0,0,0,1,1,0,
276029,Flight Form,0,0,0,1,0,0,
400533,Wild Synthesis,0,0,0,1,1,0,
22568,Ferocious Bite,0,0,0,0,0,0,ENERGY:25;COMBO_POINTS:5;
378986,Protector of the Pack,0,0,0,1,1,0,
102351,Cenarion Ward,0,0,45,0,1,30,MANA:4600;
378988,Lycara's Teachings,0,0,0,1,1,0,
5176,Wrath,1151,0,45,0,0,0,MANA:0;MANA:0;MANA:0;MANA:0;MANA:500;
382559,Unstoppable Growth,0,0,0,1,1,0,
377842,Ursine Vigor,0,0,0,1,1,0,
197625,Moonkin Form,0,0,0,0,1,0,
197721,Flourish,0,0,0,0,1,90,
392315,Luxuriant Soil,0,0,0,1,1,0,
392124,Embrace of the Dream,0,0,0,1,1,0,
197626,Starsurge,0,0,45,0,1,10,MANA:1500;
88423,Nature's Cure,0,0,45,0,0,8,MANA:3250;
203651,Overgrowth,0,0,45,0,1,60,MANA:6000;
231032,Improved Regrowth,0,0,0,1,1,0,
192081,Ironfur,0,0,0,0,1,0.5,RAGE:40;
377847,Well-Honed Instincts,0,0,0,1,1,0,
197628,Starfire,1918,0,45,0,1,0,MANA:1500;
392256,Harmonious Blooming,0,0,0,1,1,0,
319454,Heart of the Wild,0,0,0,0,1,300,
5211,Mighty Bash,0,0,0,0,1,60,
33917,Mangle,0,0,0,0,0,6,
132158,Nature's Swiftness,0,0,0,0,1,60,
5215,Prowl,0,0,0,0,0,6,
1822,Rake,0,0,0,0,1,0,ENERGY:35;
99,Incapacitating Roar,0,0,0,0,1,30,
16931,Thick Hide,0,0,0,1,1,0,
108299,Killer Instinct,0,0,0,1,1,0,
22812,Barkskin,0,0,0,0,0,60,
392325,Verdancy,0,0,0,1,1,0,
207385,Spring Blossoms,0,0,0,1,1,0,
5487,Bear Form,0,0,0,0,0,0,
159286,Primal Fury,0,0,0,1,1,0,
