id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
363916,Obsidian Scales,0,0,0,0,1,90,
356995,Disintegrate,0,0,25,0,0,0,ESSENCE:3;
368838,Heavy Wingbeats,0,0,0,1,1,0,
410685,Symbiotic Bloom,0,0,0,1,1,0,
406907,Regenerative Chitin,0,0,0,1,1,0,
375443,Clobbering Sweep,0,0,0,1,1,0,
395160,Eruption,2267,0,25,0,1,0,ESSENCE:3;
358267,Hover,0,0,0,0,0,35,
408083,Font of Magic,0,0,0,1,1,0,
374968,Time Spiral,0,0,0,0,1,120,
410687,Prolong Life,0,0,0,1,1,0,
372048,Oppressing Roar,0,0,0,0,1,120,
410784,Echoing Strike,0,0,0,1,1,0,
375510,Blast Furnace,0,0,0,1,1,0,
375542,Exuberance,0,0,0,1,1,0,
375574,Foci of Life,0,0,0,1,1,0,
412723,Tomorrow, Today,0,0,0,1,1,0,
406659,Ricocheting Pyroclast,0,0,0,1,1,0,
407866,Plot the Future,0,0,0,1,1,0,
404977,Time Skip,0,0,0,0,1,180,
371032,Terror of the Skies,0,0,0,1,1,0,
375577,Fire Within,0,0,0,1,1,0,
360806,Sleep Walk,1360,0,25,0,1,15,MANA:6000;
368432,Unravel,0,0,25,0,1,9,MANA:2500;
361227,Return,9068,0,40,0,0,0,MANA:2000;
369990,Ancient Flame,0,0,0,1,1,0,
386405,Inner Radiance,0,0,0,1,1,0,
410787,Geomancy,0,0,0,1,1,0,
409329,Reactive Hide,0,0,0,1,1,0,
375544,Inherent Resistance,0,0,0,1,1,0,
407869,Anachronism,0,0,0,1,1,0,
375517,Extended Flight,0,0,0,1,1,0,
387761,Panacea,0,0,0,1,1,0,
370886,Bountiful Bloom,0,0,0,1,1,0,
409267,Motes of Possibility,0,0,0,1,1,0,
372469,Scarlet Adaptation,0,0,0,1,1,0,
395153,Sands of Time,0,0,0,1,0,0,
374346,Overawe,0,0,0,1,1,0,
396187,Essence Burst,0,0,0,1,1,0,
364342,Blessing of the Bronze,0,0,40,0,0,15,MANA:10000;
387787,Regenerative Magic,0,0,0,1,1,0,
410253,Perilous Fate,0,0,0,1,1,0,
375406,Obsidian Bulwark,0,0,0,1,1,0,
406380,Mastery: Timewalker,0,0,0,1,0,0,
369913,Natural Convergence,0,0,0,1,1,0,
396043,Close as Clutchmates,0,0,0,1,0,0,
410352,Stretch Time,0,0,0,1,1,0,
375520,Innate Magic,0,0,0,1,1,0,
403208,Draconic Attunements,0,0,0,1,1,0,
370665,Rescue,0,0,30,0,1,60,
371806,Recall,0,0,0,1,1,0,
374251,Cauterizing Flame,0,0,25,0,1,60,MANA:0;MANA:0;MANA:25000;
351338,Quell,0,0,25,0,1,40,
365933,Aerial Mastery,0,0,0,1,1,0,
406732,Spatial Paradox,0,0,60,0,1,120,
412733,Unyielding Domain,0,0,0,1,1,0,
375554,Enkindled,0,0,0,1,1,0,
407814,Pupil of Alexstrasza,0,0,0,1,1,0,
407876,Accretion,0,0,0,1,1,0,
408543,Seismic Slam,0,0,0,1,1,0,
369459,Source of Magic,0,0,25,0,1,0,
370888,Twin Guardian,0,0,0,1,1,0,
408004,Momentum Shift,0,0,0,1,1,0,
407243,Aspects' Favor,0,0,0,1,1,0,
375556,Tailwind,0,0,0,1,1,0,
371016,Imposing Presence,0,0,0,1,1,0,
404195,Defy Fate,0,0,0,1,1,0,
374348,Renewing Blaze,0,0,0,0,1,90,
408233,Bestow Weyrnstone,3000,0,25,0,1,60,
410260,Overlord,0,0,0,1,1,0,
360995,Verdant Embrace,0,0,25,0,1,24,MANA:0;MANA:0;MANA:25000;
358385,Landslide,0,10,40,0,1,90,MANA:7000;
369908,Power Nexus,0,0,0,1,1,0,
410261,Inferno's Blessing,0,0,0,1,1,0,
400006,Energizing Flame,0,0,0,1,0,0,
369939,Leaping Flames,0,0,0,1,1,0,
360827,Blistering Scales,0,0,25,0,1,30,
410643,Molten Blood,0,0,0,1,1,0,
357208,Fire Breath,0,0,0,0,0,30,MANA:0;
375528,Forger of Mountains,0,0,0,1,1,0,
376164,Instinctive Arcana,0,0,0,1,1,0,
406041,Nourishing Sands,0,0,0,1,0,0,
369909,Protracted Talons,0,0,0,1,1,0,
409311,Prescience,0,0,25,0,1,12,
375561,Lush Growth,0,0,0,1,1,0,
374227,Zephyr,0,0,0,0,1,120,
357210,Deep Breath,0,15,50,0,0,120,
387341,Walloping Blow,0,0,0,1,1,0,
390386,Fury of the Aspects,0,0,0,0,0,300,MANA:10000;
395152,Ebon Might,1360,0,0,0,1,30,MANA:2500;
412710,Timelessness,0,0,25,0,1,0,
376166,Draconic Legacy,0,0,0,1,1,0,
412774,Fate Mirror,0,0,25,1,1,0,
375722,Essence Attunement,0,0,0,1,1,0,
365585,Expunge,0,0,25,0,1,8,MANA:25000;
418101,Potent Mana,0,0,0,1,1,0,
403631,Breath of Eons,0,15,50,0,1,120,
370897,Permeating Chill,0,0,0,1,1,0,
