id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
260309,Master Marksman,0,0,0,1,1,0,
343247,Improved Traps,0,0,0,1,1,0,
257944,Thrill of the Hunt,0,0,0,1,1,0,
199921,Trailblazer,0,0,0,1,1,0,
378014,Poison Injection,0,0,0,1,1,0,
385539,Rejuvenating Wind,0,0,0,1,1,0,
34026,Kill Command,0,0,50,0,1,6.947,FOCUS:30;
321468,Binding Shackles,0,0,0,1,1,0,
187698,Tar Trap,0,0,40,0,1,30,
201430,Stampede,0,0,40,0,1,120,
378207,Kill Cleave,0,0,0,1,1,0,
19574,Bestial Wrath,0,0,100,0,1,90,
375891,Death Chakram,0,0,40,0,1,45,
378209,Training Expert,0,0,0,1,1,0,
267116,Animal Companion,0,0,0,1,1,0,
264735,Survival of the Fittest,0,0,50000,0,1,180,
378210,Hunter's Prey,0,0,0,1,1,0,
378750,Cobra Sting,0,0,0,1,1,0,
147362,Counter Shot,0,0,40,0,1,24,
1543,Flare,0,0,40,0,0,20,
191384,Aspect of the Beast,0,0,50000,1,1,0,
199528,One with the Pack,0,0,0,1,1,0,
231548,Barbed Wrath,0,0,0,1,1,0,
186257,Aspect of the Cheetah,0,0,0,0,0,180,
270581,Natural Mending,0,0,0,1,1,0,
271788,Serpent Sting,0,0,40,0,1,0,FOCUS:10;
53351,Kill Shot,0,0,40,0,1,10,FOCUS:10;
388057,Sentinel's Protection,0,0,0,1,1,0,
1513,Scare Beast,1389,0,30,0,1,0,FOCUS:25;
199530,Stomp,0,0,0,1,1,0,
125050,Fetch,93,0,50,0,0,0,
212431,Explosive Shot,0,0,40,0,1,30,FOCUS:20;
393933,War Orders,0,0,0,1,1,0,
392060,Wailing Arrow,1852,0,40,0,1,60,FOCUS:15;
199483,Camouflage,0,0,50000,0,1,60,
273887,Killer Instinct,0,0,0,1,1,0,
257284,Hunter's Mark,0,0,60,0,0,0,
187650,Freezing Trap,0,0,40,0,0,30,
217200,Barbed Shot,0,0,40,0,1,11.115,
266921,Born To Be Wild,0,0,0,1,1,0,
162488,Steel Trap,0,0,40,0,1,30,
378205,Sharp Barbs,0,0,0,1,1,0,
56315,Kindred Spirits,0,0,0,1,1,0,
378442,Wild Instincts,0,0,0,1,1,120,
272651,Command Pet,0,0,0,0,0,0,
19801,Tranquilizing Shot,0,0,40,0,1,10,
378244,Cobra Senses,0,0,0,1,1,0,
120360,Barrage,0,0,40,0,1,20,FOCUS:60;
109215,Posthaste,0,0,0,1,1,0,
392053,Piercing Fangs,0,0,0,1,1,0,
115939,Beast Cleave,0,0,0,1,1,0,
193532,Scent of Blood,0,0,0,1,1,0,
385810,Dire Frenzy,0,0,0,1,1,0,
199532,Killer Cobra,0,0,0,1,1,0,
236776,High Explosive Trap,0,0,40,0,1,40,
109248,Binding Shot,0,0,30,0,1,45,
378743,Dire Command,0,0,0,1,1,0,
378002,Pathfinding,0,0,0,1,1,0,
5116,Concussive Shot,0,0,40,0,1,5,
195645,Wing Clip,0,0,0,0,0,0,FOCUS:20;
19577,Intimidation,0,0,100,0,1,60,
389654,Master Handler,0,0,0,1,1,0,
109304,Exhilaration,0,0,45,0,0,120,
185358,Arcane Shot,0,0,40,0,0,0,FOCUS:40;
321297,Eyes of the Beast,1853,0,50000,0,0,0,
269737,Alpha Predator,0,0,0,1,1,0,
34477,Misdirection,0,0,100,0,1,30,
5384,Feign Death,0,0,0,0,0,30,
384799,Hunter's Avoidance,0,0,0,1,1,0,
260241,Hydra's Bite,0,0,0,1,1,0,
378004,Keen Eyesight,0,0,0,1,1,0,
120679,Dire Beast,0,0,40,0,1,20,
209997,Play Dead,0,0,100,0,0,30,
193530,Aspect of the Wild,0,0,40,0,1,120,
359844,Call of the Wild,0,0,40,0,1,180,
321014,Pack Tactics,0,0,0,1,1,0,
185789,Wild Call,0,0,0,1,1,0,
193455,Cobra Shot,0,0,40,0,1,0,FOCUS:35;
388039,Lone Survivor,0,0,50000,1,1,0,
321530,Bloodshed,0,0,50,0,1,60,
2643,Multi-Shot,0,0,40,0,1,0,FOCUS:40;
186265,Aspect of the Turtle,0,0,0,0,0,180,
378007,Beast Master,0,0,0,1,1,0,
390231,Arctic Bola,0,0,0,1,1,0,
389882,Serrated Shots,0,0,0,1,1,0,
389660,Snake Bite,0,0,0,1,1,0,
53480,Roar of Sacrifice,0,0,40,0,1,60,
343242,Wilderness Medicine,0,0,0,1,1,0,
131894,A Murder of Crows,0,0,40,0,1,60,FOCUS:30;
393344,Entrapment,0,0,0,1,1,0,
388042,Nature's Endurance,0,0,50000,1,1,0,
6197,Eagle Eye,0,0,50000,0,0,0,
76657,Mastery: Master of Beasts,0,0,0,1,0,0,
378740,Killer Command,0,0,0,1,1,0,
378010,Improved Kill Command,0,0,0,1,1,0,
343244,Improved Tranquilizing Shot,0,0,0,1,1,0,
388056,Sentinel's Perception,0,0,0,1,1,0,
53270,Exotic Beasts,0,0,0,1,0,0,
781,Disengage,0,0,50000,0,0,20,
378745,Dire Pack,0,0,0,1,1,0,
407412,Bloody Frenzy,0,0,0,1,1,120,
386870,Brutal Companion,0,0,0,1,1,0,
388045,Sentinel Owl,0,0,40,0,1,0,
213691,Scatter Shot,0,0,20,0,1,30,
343248,Improved Kill Shot,0,0,0,1,1,0,
