id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
109215,Posthaste,0.000000,0,0,1,1,0.000000,
260309,Master Marksman,0.000000,0,0,1,1,0.000000,
6197,Eagle Eye,0.000000,0,50000,0,0,0.000000,
199483,Camouflage,0.000000,0,50000,0,1,60.000000,
781,Disengage,0.000000,0,50000,0,0,1.000000,
272651,Command Pet,0.000000,0,0,0,0,0.000000,
19434,Aimed Shot,2.064000,0,45,0,0,0.000000,FOCUS:30
260240,Precise Shots,0.000000,0,0,1,0,0.000000,
212431,Explosive Shot,0.000000,0,45,0,1,30.000000,FOCUS:20
266921,Born To Be Wild,0.000000,0,0,1,1,0.000000,
131894,A Murder of Crows,0.000000,0,45,0,1,60.000000,FOCUS:20
109248,Binding Shot,0.000000,0,34,0,1,45.000000,
194595,Lock and Load,0.000000,0,0,1,1,0.000000,
155228,Lone Wolf,0.000000,0,0,1,0,0.000000,
5116,Concussive Shot,0.000000,0,45,0,0,5.000000,
185358,Arcane Shot,0.000000,0,45,0,0,0.000000,FOCUS:15
257621,Trick Shots,0.000000,0,0,1,0,0.000000,
120360,Barrage,0.000000,0,45,0,1,20.000000,FOCUS:30
187650,Freezing Trap,0.000000,0,40,0,0,30.000000,
193468,Mastery: Sniper Training,0.000000,0,0,1,0,0.000000,
288613,Trueshot,0.000000,0,0,0,0,120.000000,
193533,Steady Focus,0.000000,0,0,1,1,0.000000,
147362,Counter Shot,0.000000,0,45,0,0,24.000000,
257620,Multi-Shot,0.000000,0,45,0,0,0.000000,FOCUS:15
125050,Fetch,0.083000,0,50,0,0,0.000000,
186257,Aspect of the Cheetah,0.000000,0,0,0,0,180.000000,
186265,Aspect of the Turtle,0.000000,0,0,0,0,180.000000,
187698,Tar Trap,0.000000,0,40,0,0,30.000000,
260243,Volley,0.000000,0,0,1,1,0.000000,
260367,Streamline,0.000000,0,0,1,1,0.000000,
257044,Rapid Fire,0.000000,0,45,0,0,20.000000,
260393,Lethal Shots,0.000000,0,0,1,1,0.000000,
199921,Trailblazer,0.000000,0,0,1,1,0.000000,
270581,Natural Mending,0.000000,0,0,1,1,0.000000,
260228,Careful Aim,0.000000,0,0,1,1,0.000000,
209997,Play Dead,0.000000,0,100,0,0,30.000000,
127933,Fireworks,1.704000,0,40,0,0,0.000000,
186387,Bursting Shot,0.000000,0,0,0,0,30.000000,FOCUS:10
1543,Flare,0.000000,0,45,0,0,20.000000,
56641,Steady Shot,1.444000,0,45,0,0,0.000000,
260402,Double Tap,0.000000,0,0,0,0,60.000000,
198670,Piercing Shot,0.000000,0,45,0,1,30.000000,FOCUS:35
5384,Feign Death,0.000000,0,0,0,0,30.000000,
271788,Serpent Sting,0.000000,0,45,0,1,0.000000,FOCUS:10
257284,Hunter's Mark,0.000000,0,60,0,0,0.000000,
34477,Misdirection,0.000000,0,100,0,0,30.000000,
109304,Exhilaration,0.000000,0,45,0,0,120.000000,
260404,Calling the Shots,0.000000,0,0,1,1,0.000000,
308491,Resonating Arrow,0.000000,0,0,0,0,60.000000,
324149,Flayed Shot,0.000000,0,0,0,0,30.000000,FOCUS:10
325028,Death Chakram,0.000000,0,0,0,0,45.000000,
328231,Wild Spirits,0.000000,0,0,0,0,120.000000,
53351,Kill Shot,0.000000,0,0,0,0,10.000000,FOCUS:10
336745,Soulforge Embers,0.000000,0,0,0,0,0.000000,
342049,Chimaera Shot,0.000000,0,40,0,1,0.000000,
321460,Dead Eye,0.000000,0,40,1,1,0.000000,
336867,Surging Shots,0.000000,0,40,1,0,0.000000,
336849,Eagletalon's True Focus,0.000000,0,40,1,0,0.000000,
162488,Steel Trap,0,0,40,0,0,25,
201430,Stampede,0,0,40,0,0,120,
204089,Bullseye,0,0,0,0,1,0,
34026,Kill Command,0,0,50,0,1,7.5,FOCUS:30
378888,Serpentstalkers Trickery,0,0,0,0,1,0,
378905,Windrunners Guidance,0,0,0,0,1,0,
384790,Razor Fragments,0,0,0,0,1,0,
389019,Bulletstorm,0,0,0,0,1,0,
400456,Salvo,0,0,0,0,1,45,
392060,Wailing Arrow,0,0,40,0,1,60,FOCUS:15
406425,Legacy of the Windrunners,0,0,0,0,1,0,
260241,Hydra's Bite,0,0,0,0,1,0,
378014,Poison Injection,0,0,0,0,1,0,
273283,Latent Poison,0,0,0,0,0,0,
