id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
343183,Improved Frost Nova,0,0,0,1,1,0,
382490,Tome of Antonidas,0,0,0,1,1,0,
383665,Incendiary Eruptions,0,0,100,1,1,0,
212653,Shimmer,0,0,0,0,1,21,MANA:1000;
384174,Master of Flame,0,0,0,1,1,0,
11366,Pyroblast,2745,0,40,0,1,0,MANA:1000;
383476,Phoenix Reborn,0,0,0,1,1,0,
108839,Ice Floes,0,0,0,0,1,20,
382270,Diverted Energy,0,0,0,1,1,0,
416719,Deep Impact,0,0,0,1,1,0,
383604,Improved Scorch,0,0,0,1,1,0,
382493,Tome of Rhonin,0,0,0,1,1,0,
157981,Blast Wave,0,0,0,0,1,30,
157997,Ice Nova,0,0,40,0,1,25,
110959,Greater Invisibility,0,0,0,0,1,120,
190319,Combustion,0,0,0,0,1,120,MANA:5000;
414659,Ice Cold,0,0,0,1,1,0,
31661,Dragon's Breath,0,0,0,0,1,45,MANA:2000;
343222,Call of the Sun King,0,0,0,1,1,0,
205036,Ice Ward,0,0,0,1,1,0,
414660,Mass Barrier,0,0,0,0,1,120,MANA:6000;
190336,Conjure Refreshment,2353,0,0,0,0,15,MANA:1500;
391102,Mass Slow,0,0,0,1,1,0,
86949,Cauterize,0,0,0,1,0,0,
80353,Time Warp,0,0,0,0,0,300,MANA:2000;
205037,Flame Patch,0,0,0,1,1,0,
203275,Flame Accelerant,0,0,0,1,1,0,
1449,Arcane Explosion,0,0,0,0,0,0,MANA:5000;
44457,Living Bomb,0,0,40,0,1,30,MANA:750;
414664,Mass Invisibility,0,0,0,0,1,300,MANA:3000;
416506,Unleashed Inferno,0,0,0,1,1,0,
383391,Feel the Burn,0,0,0,1,1,0,
416094,Fuel the Fire,0,0,0,1,1,0,
390218,Overflowing Energy,0,0,0,1,1,0,
382297,Quick Witted,0,0,0,1,1,0,
383886,Sun King's Blessing,0,0,0,1,1,0,
382440,Shifting Power,0,0,0,0,1,60,MANA:2500;
235313,Blazing Barrier,0,0,0,0,1,25,MANA:1500;
342245,Alter Time,0,0,0,0,1,60,MANA:500;
387807,Time Manipulation,0,0,0,1,1,0,
416715,Convection,0,0,0,1,1,0,
343230,Surging Blaze,0,0,0,1,1,0,
130,Slow Fall,0,0,40,0,0,0,MANA:500;
