id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
109132,Roll,0,0,0,0,0,15,
394110,Escape from Reality,0,0,0,1,1,0,
264348,Tiger Tail Sweep,0,0,0,1,1,0,
388491,Secret Infusion,0,0,0,1,1,0,
388047,Clouded Focus,0,0,0,1,1,0,
124682,Enveloping Mist,1824,0,40,0,1,0,MANA:6304;
115546,Provoke,0,0,30,0,0,8,
115173,Celerity,0,0,0,1,1,0,
116705,Spear Hand Strike,0,0,0,0,1,15,
388874,Improved Detox,0,0,0,1,1,0,
388779,Awakened Faeline,0,0,0,1,1,0,
388811,Grace of the Crane,0,0,0,1,1,0,
212051,Reawaken,9119,0,100,0,0,0,MANA:1051;
399226,Burst of Life,0,0,0,1,1,0,
322101,Expel Harm,0,0,100,0,0,15,ENERGY:0;MANA:3940;ENERGY:0;
116841,Tiger's Lust,0,0,20,0,1,30,
387765,Nourishing Chi,0,0,0,1,1,0,
389575,Generous Pour,0,0,0,1,1,0,
117952,Crackling Jade Lightning,0,0,40,0,0,0,ENERGY:0;ENERGY:0;
400053,Veil of Pride,0,0,0,1,1,0,
388020,Resplendent Mist,0,0,0,1,1,0,
388814,Ironshell Brew,0,0,0,1,1,0,
119381,Leg Sweep,0,0,0,0,0,60,
116849,Life Cocoon,0,0,40,0,1,120,MANA:3152;
116095,Disable,0,0,0,0,1,0,ENERGY:0;MANA:919;ENERGY:0;
197908,Mana Tea,0,0,0,0,1,90,
388593,Peaceful Mending,0,0,0,1,1,0,
388212,Gift of the Celestials,0,0,0,1,1,0,
322109,Touch of Death,0,0,0,0,0,180,
389578,Resonant Fists,0,0,0,1,1,0,
100784,Blackout Kick,0,0,0,0,0,3,CHI:0;
101546,Spinning Crane Kick,0,0,0,0,0,0,CHI:0;MANA:1313;ENERGY:0;
388023,Ancient Teachings,0,0,0,1,1,0,
389579,Save Them All,0,0,0,1,1,0,
400089,Shaohao's Lessons,0,0,0,1,1,0,
115310,Revival,0,0,0,0,1,180,MANA:5744;
115175,Soothing Mist,0,0,40,0,1,0,MANA:0;ENERGY:0;ENERGY:0;
388564,Accumulating Mist,0,0,0,1,1,0,
124081,Zen Pulse,0,0,40,0,1,30,MANA:1313;
274963,Upwelling,0,0,100,1,1,0,
404408,Legacy of Wisdom,0,0,0,1,1,0,
125883,Zen Flight,0,0,0,0,0,0,
123986,Chi Burst,912,0,40,0,1,30,
389574,Close to Heart,0,0,0,1,1,0,
388661,Invoker's Delight,0,0,0,1,1,0,
392910,Profound Rebuttal,0,0,0,1,1,0,
388813,Expeditious Fortification,0,0,0,1,1,0,
388809,Fast Feet,0,0,0,1,1,0,
197895,Focused Thunder,0,0,0,1,1,0,
115078,Paralysis,0,0,20,0,1,45,ENERGY:0;ENERGY:0;
388218,Calming Coalescence,0,0,0,1,1,0,
122278,Dampen Harm,0,0,0,0,1,120,
325197,Invoke Chi-Ji the Red Crane,0,0,40,0,1,180,MANA:6566;
210802,Spirit of the Crane,0,0,0,1,1,0,
388031,Jade Bond,0,0,0,1,1,0,
274586,Invigorating Mists,0,0,0,1,1,0,
388664,Calming Presence,0,0,0,1,1,0,
399491,Sheilun's Gift,1824,0,40,0,1,0,MANA:3283;
343655,Celestial Harmony,0,0,0,1,1,0,
101643,Transcendence,0,0,0,0,1,10,
117907,Mastery: Gust of Mists,0,0,0,1,0,0,
116645,Teachings of the Monastery,0,0,0,1,1,0,
322113,Improved Touch of Death,0,0,0,1,1,0,
393460,Tea of Serenity,0,0,0,1,1,0,
322118,Invoke Yu'lon the Jade Serpent,0,0,40,0,1,180,MANA:6566;
328669,Improved Roll,0,0,0,1,1,0,
388604,Echoing Reverberation,0,0,0,1,1,0,
122281,Healing Elixir,0,0,0,0,1,30,
115008,Chi Torpedo,0,0,0,0,1,15,
388517,Tea of Plenty,0,0,0,1,1,0,
388477,Unison,0,0,0,1,1,0,
198898,Song of Chi-Ji,1641,0,40,0,1,30,
388701,Dancing Mists,0,0,100,1,1,0,
344359,Improved Paralysis,0,0,0,1,1,0,
115098,Chi Wave,0,0,40,0,1,15,
274909,Rising Mist,0,0,0,1,1,0,
116844,Ring of Peace,0,0,40,0,1,45,
388193,Faeline Stomp,0,0,30,0,1,20,MANA:5253;
191837,Essence Font,0,0,0,0,1,12,MANA:9455;
388511,Overflowing Mists,0,0,0,1,1,0,
116670,Vivify,0,0,40,0,0,0,MANA:4465;ENERGY:0;ENERGY:0;
197915,Lifecycles,0,0,0,1,1,0,
107428,Rising Sun Kick,0,0,0,0,1,10,CHI:0;MANA:3283;
119996,Transcendence: Transfer,0,0,40,0,0,45,
115178,Resuscitate,9119,0,40,0,0,0,MANA:1051;
115313,Summon Jade Serpent Statue,0,0,40,0,1,10,
196725,Refreshing Jade Wind,0,0,0,0,1,45,MANA:6566;
414131,Yu'lon's Grace,0,0,0,1,1,0,
197900,Mist Wrap,0,0,0,1,1,0,
388812,Vivacious Vivification,0,0,0,1,1,0,
388682,Misty Peaks,0,0,0,1,1,0,
387276,Strength of Spirit,0,0,0,1,1,0,
281231,Mastery of Mist,0,0,0,1,1,0,
388038,Yu'lon's Whisper,0,0,100,1,1,0,
100780,Tiger Palm,0,0,0,0,0,0,ENERGY:0;
231602,Improved Vivify,0,0,0,1,1,0,
388674,Ferocity of Xuen,0,0,0,1,1,0,
202424,Chrysalis,0,0,0,1,1,0,
122783,Diffuse Magic,0,0,0,0,1,90,
8647,Mystic Touch,0,0,0,1,0,0,
388548,Mists of Life,0,0,100,1,1,0,
414132,Dance of the Wind,0,0,0,1,1,0,
157411,Windwalking,0,0,0,1,1,0,
115203,Fortifying Brew,0,0,0,0,1,360,
388509,Mending Proliferation,0,0,0,1,1,0,
337209,Font of Life,0,0,0,1,1,0,
388740,Ancient Concordance,0,0,0,1,1,0,
388686,Summon White Tiger Statue,0,0,40,0,1,120,
394123,Fatal Touch,0,0,0,1,1,0,
392900,Vigorous Expulsion,0,0,0,1,1,0,
328670,Hasty Provocation,0,0,0,1,1,0,
126892,Zen Pilgrimage,9119,0,0,0,0,60,
388551,Uplifted Spirits,0,0,0,1,1,0,
116680,Thunder Focus Tea,0,0,0,0,1,30,
388615,Restoral,0,0,0,0,1,180,MANA:5744;
388681,Elusive Mists,0,0,0,1,1,0,
389577,Bounce Back,0,0,0,1,1,0,
115315,Summon Black Ox Statue,0,0,40,0,1,10,
115450,Detox,0,0,40,0,0,8,MANA:1707;
115151,Renewing Mist,0,0,40,0,1,9,MANA:2364;
196607,Eye of the Tiger,0,0,0,1,1,0,
387991,Tear of Morning,0,0,0,1,1,0,
388847,Rapid Diffusion,0,0,40,1,1,0,
