id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
101643,Transcendence,0.000000,0,0,0,0,10.000000,
264348,Tiger Tail Sweep,0.000000,0,0,1,1,0.000000,
115078,Paralysis,0.000000,0,20,0,0,45.000000,ENERGY:0;ENERGY:20
261947,Fist of the White Tiger,0.000000,0,0,0,0,30.000000,ENERGY:40
101545,Flying Serpent Kick,0.000000,0,0,0,0,25.000000,
115098,Chi Wave,0.000000,0,40,0,0,15.000000,
201318,Fortifying Brew,0.000000,0,0,0,0,90.000000,
280195,Good Karma,0.000000,0,40,1,1,0.000000,
107428,Rising Sun Kick,0.000000,0,0,0,0,10.000000,CHI:2;MANA:0
261767,Inner Strength,0.000000,0,100,1,1,0.000000,
116705,Spear Hand Strike,0.000000,0,0,0,0,15.000000,
115008,Chi Torpedo,0.000000,0,0,0,1,0.000000,
280197,Spiritual Focus,0.000000,0,40,1,1,0.000000,
218164,Detox,0.000000,0,40,0,0,0.000000,ENERGY:20
116095,Disable,0.000000,0,0,0,0,0.000000,ENERGY:0;ENERGY:15;MANA:0
101546,Spinning Crane Kick,0.000000,0,0,0,0,0.000000,MANA:0;CHI:0;CHI:2
116670,Vivify,0.000000,0,40,0,0,0.000000,ENERGY:0;ENERGY:0;MANA:0
115288,Energizing Elixir,0.000000,0,0,0,1,60.000000,
123986,Chi Burst,0.873000,0,40,0,1,30.000000,
126892,Zen Pilgrimage,8.733000,0,0,0,0,60.000000,
115178,Resuscitate,8.733000,0,40,0,0,0.000000,MANA:0
152173,Serenity,0.000000,0,0,0,1,90.000000,
116844,Ring of Peace,0.000000,0,40,0,1,45.000000,
123904,Invoke Xuen, the White Tiger,0.000000,0,40,0,1,120.000000,
115636,Mastery: Combo Strikes,0.000000,0,0,1,0,0.000000,
261715,Rushing Jade Wind,0.000000,0,0,0,0,6.000000,ENERGY:3
122278,Dampen Harm,0.000000,0,0,0,1,120.000000,
8647,Mystic Touch,0.000000,0,0,1,0,0.000000,
157411,Windwalking,0.000000,0,0,1,0,0.000000,
116092,Afterlife,0.000000,0,0,1,0,0.000000,
175697,Disabling Technique,0.000000,0,0,0,0,0.000000,
125883,Zen Flight,0.000000,0,0,0,0,0.000000,
119996,Transcendence: Transfer,0.000000,0,40,0,0,45.000000,
122470,Touch of Karma,0.000000,0,20,0,0,90.000000,
115080,Touch of Death,0.000000,0,0,0,0,120.000000,
152175,Whirling Dragon Punch,0.000000,0,0,0,0,24.000000,
100780,Tiger Palm,0.000000,0,0,0,0,0.000000,ENERGY:50;ENERGY:0
116841,Tiger's Lust,0.000000,0,20,0,1,30.000000,
115396,Ascension,0.000000,0,0,1,1,0.000000,
100784,Blackout Kick,0.000000,0,0,0,0,3.000000,CHI:1
137639,Storm, Earth, and Fire,0.000000,0,0,0,0,16.000000,
115546,Provoke,0.000000,0,30,0,0,8.000000,
122783,Diffuse Magic,0.000000,0,0,0,1,90.000000,
196740,Hit Combo,0.000000,0,0,1,1,0.000000,
113656,Fists of Fury,0.000000,0,8,0,0,24.000000,CHI:3
196607,Eye of the Tiger,0.000000,0,0,1,1,0.000000,
117952,Crackling Jade Lightning,0.000000,0,40,0,0,0.000000,ENERGY:20;ENERGY:0
109132,Roll,0.000000,0,0,0,0,0.800000,
119381,Leg Sweep,0.000000,0,0,0,0,60.000000,
115173,Celerity,0.000000,0,0,1,1,0.000000,
100780,Tiger Palm,0,0,10,0,0,0,ENERGY:50
100784,Blackout Kick,0,0,0,0,0,3,CHI:1
109132,Roll,0,0,0,0,0,15,
116645,Teachings Of The Monastery,0,0,0,0,1,0,
123904,Invoke Xuen The White Tiger,0,0,40,0,1,120,
152175,Whirling Dragon Punch,0,0,0,0,1,24,
322101,Expel Harm,0,0,100,0,0,15,ENERGY:15
327104,Faeline Stomp,0,0,0,0,0,30,
345829,Pressure Point,0,0,0,0,1,0,
392982,Shadowboxing Treads,0,0,0,0,1,0,
392985,Thunderfist,0,0,0,0,1,0,
392991,Skyreach,0,0,0,0,1,0,
405044,Skytouch,0,0,0,0,1,0,
388686,Summon White Tiger Statue,0,0,0,0,1,120,
391412,Faeline Harmony,0,0,0,0,1,0,
220357,Mark of the Crane,0,0,0,0,1,0,
121817,Power Strikes,0,0,0,0,1,0,
325201,Dance of Chi-Ji,0,0,0,0,1,0,
392983,Strike of the Windlord,0,0,9,0,1,40,CHI:2
392983,Thunderfist,0,0,0,0,1,0,
113656,Fists of Fury,0,0,8,0,1,22,CHI:3
386276,Bonedust Brew,0,0,0,0,1,60,
116847,Rushing Jade Wind,0,0,0,0,1,5.4,CHI:1
137639,Storm Earth and Fire,0,0,0,0,1,90,
322109,Touch of Death,0,0,0,0,0,90,
122470,Touch of Karma,0,0,20,0,1,90,
117952,Crackling Jade Lightning,0,0,40,0,0,0,ENERGY:20
388661,Invoker's Delight,0,0,0,0,1,0,
388848,Crane Vortex,0,0,0,0,1,0,
392979,Jade Ignition,0,0,0,0,1,0,
392993,Xuen's Battlegear,0,0,0,0,1,0,
