id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
35395,Crusader Strike,0,0,0,0,0,6.25,MANA:4000;
183998,Light of the Martyr,0,0,40,0,1,0,MANA:4000;
414113,Righteous Judgment,0,0,0,1,1,0,
853,Hammer of Justice,0,0,10,0,0,60,MANA:1750;
392907,Inflorescence of the Sunwell,0,0,0,1,1,0,
53576,Infusion of Light,0,0,0,1,0,0,
385129,Seal of Order,0,0,0,1,1,0,
414273,Hand of Divinity,1202,0,0,0,1,90,
385349,Touch of Light,0,0,0,1,1,0,
20066,Repentance,1362,0,30,0,1,15,MANA:3000;
200652,Tyr's Deliverance,1603,0,100,0,1,90,MANA:6000;
392938,Veneration,0,0,0,1,1,0,
200430,Protection of Tyr,0,0,100,1,1,0,
114158,Light's Hammer,0,0,40,0,1,60,MANA:9000;
385414,Afterimage,0,0,0,1,1,0,
385639,Auras of Swift Vengeance,0,0,0,1,1,0,
197446,Beacon of the Lightbringer,0,0,0,1,1,0,
414720,Tirion's Devotion,0,0,0,1,1,0,
24275,Hammer of Wrath,0,0,30,0,1,15.026,MANA:2500;
183778,Judgment of Light,0,0,0,1,1,0,
406468,Lightforged Blessing,0,0,0,1,1,0,
223817,Divine Purpose,0,0,0,1,1,0,
20473,Holy Shock,0,0,40,0,1,6.811,MANA:6000;
405768,Fading Light,0,0,0,1,1,0,
26573,Consecration,0,0,0,0,0,9,
414214,Holy Infusion,0,0,0,1,1,0,
231642,Tower of Radiance,0,0,0,1,1,0,
465,Devotion Aura,0,0,0,0,0,0,
387801,Echoing Blessings,0,0,0,1,1,0,
121183,Contemplation,0,0,0,0,0,8,
392911,Unwavering Spirit,0,0,0,1,1,0,
385450,Seal of Might,0,0,0,1,1,0,
375576,Divine Toll,0,0,40,0,1,60,MANA:7500;
414378,Illumination,0,0,0,1,1,0,
379391,Quickened Invocation,0,0,0,1,1,0,
387170,Empyrean Legacy,0,0,0,1,1,0,
183415,Merciful Auras,0,0,0,1,1,0,
385515,Holy Aegis,0,0,0,1,1,0,
633,Lay on Hands,0,0,40,0,1,600,
157047,Saved by the Light,0,0,0,1,1,0,
317920,Concentration Aura,0,0,0,0,0,0,
403042,Crusader's Reprieve,0,0,0,1,1,0,
231644,Greater Judgment,0,0,0,1,1,0,
377043,Justification,0,0,0,1,1,0,
379008,Strength of Conviction,0,0,0,1,1,0,
6940,Blessing of Sacrifice,0,0,40,0,1,60,MANA:3500;
384914,Recompense,0,0,0,1,1,0,
196926,Crusader's Might,0,0,0,1,1,0,
385425,Seal of Alacrity,0,0,0,1,1,0,
498,Divine Protection,0,0,0,0,0,60,MANA:1750;
31821,Aura Mastery,0,0,0,0,1,180,
384820,Sacrifice of the Just,0,0,0,1,1,0,
414443,Shining Righteousness,0,0,0,1,1,0,
387805,Divine Glimpse,0,0,0,1,1,0,
10326,Turn Evil,1202,0,20,0,1,15,MANA:5250;
642,Divine Shield,0,0,0,0,0,300,
212056,Absolution,8014,0,100,0,0,0,MANA:2000;
210294,Divine Favor,0,0,0,0,1,30,
414127,Overflowing Light,0,0,0,1,1,0,
7328,Redemption,8014,0,40,0,0,0,MANA:2000;
190784,Divine Steed,0,0,0,0,1,45,
402964,Sanctified Plates,0,0,0,1,1,0,
4987,Cleanse,0,0,40,0,0,8,MANA:3250;
392951,Boundless Salvation,0,0,0,1,1,0,
414065,Glorious Dawn,0,0,0,1,1,0,
387808,Divine Revelations,0,0,0,1,1,0,
385427,Obduracy,0,0,0,1,1,0,
85673,Word of Glory,0,0,40,0,0,0,HOLY_POWER:3;MANA:3000;MANA:0;MANA:0;
