id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
204018,Blessing of Spellwarding,0.000000,0,40,0,1,180.000000,MANA:3000
204074,Righteous Protector,0.000000,0,0,1,1,0.000000,
204019,Blessed Hammer,0.000000,0,0,0,1,0.000000,
204035,Bastion of Light,0.000000,0,0,0,1,120.000000,
203791,Last Defender,0.000000,0,0,1,1,0.000000,
53600,Shield of the Righteous,0.000000,0,0,0,0,1.000000,
35395,Crusader Strike,0.000000,0,0,0,0,0.000000,
19750,Flash of Light,1.396000,0,40,0,0,0.000000,MANA:5016
203776,First Avenger,0.000000,0,0,1,1,0.000000,
498,Divine Protection,0.000000,0,0,0,0,60.000000,MANA:700
213644,Cleanse Toxins,0.000000,0,40,0,0,8.000000,MANA:1300
213652,Hand of the Protector,0.000000,0,40,0,1,0.000000,
114154,Unbreakable Spirit,0.000000,0,0,1,1,0.000000,
230332,Cavalier,0.000000,0,0,1,1,0.000000,
280373,Redoubt,0.000000,0,0,1,1,0.000000,
204077,Final Stand,0.000000,0,0,1,1,0.000000,
96231,Rebuke,0.000000,0,0,0,0,15.000000,
121183,Contemplation,0.000000,0,0,0,0,8.000000,
642,Divine Shield,0.000000,0,0,0,0,300.000000,
26573,Consecration,0.000000,0,0,0,0,4.500000,
204054,Consecrated Ground,0.000000,0,0,1,1,0.000000,
86659,Guardian of Ancient Kings,0.000000,0,30,0,0,300.000000,
32223,Heart of the Crusader,0.000000,0,0,1,0,0.000000,
204023,Crusader's Judgment,0.000000,0,0,1,1,0.000000,
1044,Blessing of Freedom,0.000000,0,40,0,0,1.500000,MANA:3000
31935,Avenger's Shield,0.000000,0,30,0,0,15.000000,
152261,Holy Shield,0.000000,0,0,1,1,0.000000,
85043,Grand Crusader,0.000000,0,0,1,0,0.000000,
115750,Blinding Light,0.000000,0,0,0,1,90.000000,MANA:1600
20066,Repentance,1.582000,0,30,0,1,15.000000,MANA:2000
198054,Fist of Justice,0.000000,0,0,1,1,0.000000,
204150,Aegis of Light,0.000000,0,0,0,1,180.000000,
184092,Light of the Protector,0.000000,0,0,0,0,0.000000,
275779,Judgment,0.000000,0,30,0,0,0.000000,MANA:0
152262,Seraphim,0.000000,0,0,0,1,45.000000,
853,Hammer of Justice,0.000000,0,10,0,0,60.000000,MANA:700
183778,Judgment of Light,0.000000,0,0,1,1,0.000000,
31884,Avenging Wrath,0.000000,0,0,0,0,120.000000,
62124,Hand of Reckoning,0.000000,0,30,0,0,0.000000,MANA:600
76671,Mastery: Divine Bulwark,0.000000,0,0,1,0,0.000000,
7328,Redemption,9.305000,0,40,0,0,0.000000,MANA:800
190784,Divine Steed,0.000000,0,0,0,0,0.000000,
203797,Retribution Aura,0.000000,0,0,1,1,0.000000,
1022,Blessing of Protection,0.000000,0,40,0,0,1.500000,MANA:3000
633,Lay on Hands,0.000000,0,40,0,0,600.000000,
6940,Blessing of Sacrifice,0.000000,0,40,0,0,1.000000,MANA:1400
327193,Moment of Glory,0.000000,0,0,0,1,90,
375576,Divine Toll,0.000000,0,30,0,1,60,MANA:7500
387174,Eye of Tyr,0.000000,0,0,0,1,45,
405757,Inmost Light,0.000000,0,0,0,1,0,
223817,Divine Purpose,0.000000,0,0,0,1,0,
386653,Bulwark of Righteous Fury,0.000000,0,0,0,1,0,
24275,Hammer of Wrath,0.000000,0,30,0,1,6,
53595,Hammer of the Righteous,0.000000,0,30,0,1,4.8,
53595,Word of Glory,0.000000,0,40,0,0,4.8,HOLY_POWER:3
