id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
21562,Power Word: Fortitude,0.000000,0,40,0,0,0.000000,MANA:4000
197419,Contrition,0.000000,0,0,1,1,0.000000,
19236,Desperate Prayer,0.000000,0,0,0,0,90.000000,
204263,Shining Force,0.000000,0,40,0,0,45.000000,MANA:2500
47540,Penance,0.000000,0,40,0,0,9.000000,MANA:2000
123040,Mindbender,0.000000,0,40,0,1,60.000000,
212036,Mass Resurrection,8.811000,0,100,0,0,0.000000,MANA:800
238063,Lenience,0.000000,0,0,1,1,0.000000,
196704,Psychic Voice,0.000000,0,0,1,1,0.000000,
271534,Mastery: Grace,0.000000,0,0,1,0,0.000000,
129250,Power Word: Solace,0.000000,0,40,0,1,12.000000,
205367,Dominant Mind,0.000000,0,0,1,1,0.000000,
8122,Psychic Scream,0.000000,0,0,0,0,60.000000,MANA:3000
110744,Divine Star,0.000000,0,30,0,0,15.000000,MANA:2000
33206,Pain Suppression,0.000000,0,40,0,0,180.000000,MANA:1600
120517,Halo,1.322000,0,30,0,1,40.000000,MANA:2700
45243,Focused Will,0.000000,0,0,1,0,0.000000,
214621,Schism,1.322000,0,40,0,1,24.000000,MANA:500
17,Power Word: Shield,0.000000,0,40,0,0,0.000000,MANA:2500
246287,Evangelism,0.000000,0,0,0,1,75.000000,
194509,Power Word: Radiance,1.762000,0,40,0,0,0.000000,MANA:6500
197045,Shield Discipline,0.000000,0,0,1,1,0.000000,
198068,Power of the Dark Side,0.000000,0,0,1,0,0.000000,
81749,Atonement,0.000000,0,0,1,0,0.000000,
585,Smite,1.322000,0,40,0,0,0.000000,MANA:500
34433,Shadowfiend,0.000000,0,40,0,0,180.000000,
280391,Sins of the Many,0.000000,0,0,1,1,0.000000,
528,Dispel Magic,0.000000,0,30,0,0,0.000000,MANA:4000
32375,Mass Dispel,1.322000,0,30,0,0,45.000000,MANA:8000
589,Shadow Word: Pain,0.000000,0,40,0,0,0.000000,MANA:1800
2061,Flash Heal,1.322000,0,40,0,0,0.000000,MANA:3000
9484,Shackle Undead,1.322000,0,30,0,0,0.000000,MANA:4000
2006,Resurrection,8.811000,0,40,0,0,0.000000,MANA:0;MANA:800
204197,Purge the Wicked,0.000000,0,40,0,1,0.000000,MANA:1800
605,Mind Control,1.586000,0,30,0,0,0.000000,MANA:500
47536,Rapture,0.000000,0,0,0,0,90.000000,
1706,Levitate,0.000000,0,30,0,0,0.000000,MANA:900;MANA:0
132157,Holy Nova,0.000000,0,0,0,0,0.000000,MANA:1600
527,Purify,0.000000,0,40,0,0,8.000000,MANA:1300
62618,Power Word: Barrier,0.000000,0,40,0,0,180.000000,MANA:4000
586,Fade,0.000000,0,0,0,0,30.000000,
265259,Twist of Fate,0.000000,0,0,1,1,0.000000,
2096,Mind Vision,0.000000,0,50000,0,0,0.000000,MANA:0
193063,Masochism,0.000000,0,0,1,1,0.000000,
193134,Castigation,0.000000,0,0,1,1,0.000000,
64129,Body and Soul,0.000000,0,0,1,1,0.000000,
73325,Leap of Faith,0.000000,0,40,0,0,90.000000,MANA:2600
271466,Luminous Barrier,0.000000,0,40,0,1,180.000000,MANA:4000
204065,Shadow Covenant,0.000000,0,40,0,1,12.000000,MANA:2800
121536,Angelic Feather,0.000000,0,40,0,0,0.000000,
