id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
255544,Poison Bomb,0.000000,0,0,1,1,0.000000,
1766,Kick,0.000000,0,0,0,0,15.000000,
1833,Cheap Shot,0.000000,0,0,0,0,0.000000,ENERGY:40
14062,Nightstalker,0.000000,0,0,1,1,0.000000,
200806,Exsanguinate,0.000000,0,0,0,1,45.000000,ENERGY:25
31209,Fleet Footed,0.000000,0,0,1,0,0.000000,
193640,Elaborate Planning,0.000000,0,0,1,1,0.000000,
196861,Iron Wire,0.000000,0,0,1,1,0.000000,
280716,Leeching Poison,0.000000,0,0,1,1,0.000000,
108208,Subterfuge,0.000000,0,0,1,1,0.000000,
154904,Internal Bleeding,0.000000,0,0,1,1,0.000000,
111240,Blindside,0.000000,0,0,0,1,0.000000,ENERGY:30
245388,Toxic Blade,0.000000,0,0,0,1,25.000000,ENERGY:20
14983,Vigor,0.000000,0,0,1,1,0.000000,
2983,Sprint,0.000000,0,0,0,0,120.000000,
31224,Cloak of Shadows,0.000000,0,0,0,0,120.000000,
79008,Elusiveness,0.000000,0,0,1,1,0.000000,
121411,Crimson Tempest,0.000000,0,0,0,1,0.000000,COMBO_POINTS:1;ENERGY:35
66,Invisibility,0.000000,0,0,0,0,300.000000,MANA:0
1752,Sinister Strike,0.000000,0,0,0,0,0.000000,ENERGY:40
2094,Blind,0.000000,0,15,0,0,120.000000,
255989,Master Assassin,0.000000,0,0,1,1,0.000000,
185311,Crimson Vial,0.000000,0,0,0,0,30.000000,ENERGY:30
703,Garrote,0.000000,0,0,0,0,6.000000,ENERGY:45
196864,Master Poisoner,0.000000,0,0,1,1,0.000000,
79134,Venomous Wounds,0.000000,0,0,1,0,0.000000,
1784,Stealth,0.000000,0,0,0,0,2.000000,
1725,Distract,0.000000,0,30,0,0,30.000000,ENERGY:30
57934,Tricks of the Trade,0.000000,0,100,0,0,30.000000,
14190,Seal Fate,0.000000,0,0,1,0,0.000000,
76803,Mastery: Potent Assassin,0.000000,0,0,1,0,0.000000,
1804,Pick Lock,1.500000,0,5,0,0,0.000000,
5277,Evasion,0.000000,0,0,0,0,120.000000,
79140,Vendetta,0.000000,0,30,0,0,120.000000,
6770,Sap,0.000000,0,10,0,0,0.000000,ENERGY:35
56814,Detection,0.000000,0,0,0,0,0.000000,
270061,Hidden Blades,0.000000,0,0,1,1,0.000000,
131511,Prey on the Weak,0.000000,0,0,1,1,0.000000,
114018,Shroud of Concealment,0.000000,0,0,0,0,360.000000,
193531,Deeper Stratagem,0.000000,0,0,1,1,0.000000,
1966,Feint,0.000000,0,0,0,0,15.000000,ENERGY:35
51723,Fan of Knives,0.000000,0,0,0,0,0.000000,ENERGY:35
152152,Venom Rush,0.000000,0,0,1,1,0.000000,
408,Kidney Shot,0.000000,0,0,0,0,20.000000,ENERGY:25;COMBO_POINTS:1
1856,Vanish,0.000000,0,0,0,0,120.000000,
31230,Cheat Death,0.000000,0,0,1,1,0.000000,
185565,Poisoned Knife,0.000000,0,30,0,0,0.000000,ENERGY:40
921,Pick Pocket,0.000000,0,10,0,0,0.500000,
36554,Shadowstep,0.000000,0,25,0,0,1.000000,
137619,Marked for Death,0.000000,0,30,0,1,60.000000,
1943,Rupture,0.000000,0,0,0,0,0.000000,ENERGY:25;COMBO_POINTS:1
196819,Eviscerate,0.000000,0,0,0,0,0.000000,COMBO_POINTS:1;ENERGY:35
1329,Mutilate,0,0,0,0,0,0,ENERGY:50
385616,Echoing Reprimand,0,0,0,0,0,45,ENERGY:10
315496,Slice And Dice,0,0,100,0,0,0,COMBO_POINTS:1;ENERGY:20
32645,Envenom,0,0,0,0,0,0,COMBO_POINTS:1;ENERGY:32
385408,Sepsis,0,0,0,0,0,90,ENERGY:25
360194,Deathmark,0,0,0,0,1,120,
381673,Doomblade,0,0,0,0,1,0,
381797,Dashing Scoundrel,0,0,0,0,1,0,
381802,Indiscriminate Carnage,0,0,0,0,1,45,
385627,Kingsbane,0,0,0,0,1,60,ENERGY:35
394983,Lightweight Shiv,0,0,0,0,1,0,
5938,Shiv,0,0,0,0,1,25,ENERGY:20
8676,Ambush,0,0,0,0,0,0,ENERGY:50
