id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
2098,Dispatch,0.000000,0,0,0,0,0.000000,ENERGY:35;COMBO_POINTS:1
1766,Kick,0.000000,0,0,0,0,15.000000,
1833,Cheap Shot,0.000000,0,0,0,0,0.000000,ENERGY:40
271877,Blade Rush,0.000000,0,20,0,1,45.000000,
51690,Killing Spree,0.000000,0,10,0,0,120.000000,
8676,Ambush,0.000000,0,0,0,0,0.000000,ENERGY:50
31209,Fleet Footed,0.000000,0,0,1,0,0.000000,
196924,Acrobatic Strikes,0.000000,0,0,1,1,0.000000,
13750,Adrenaline Rush,0.000000,0,0,0,0,180.000000,
193546,Iron Stomach,0.000000,0,0,1,1,0.000000,
13877,Blade Flurry,0.000000,0,0,0,0,12.000000,ENERGY:15
921,Pick Pocket,0.000000,0,10,0,0,0.500000,
108216,Dirty Tricks,0.000000,0,0,1,1,0.000000,
193539,Alacrity,0.000000,0,0,1,1,0.000000,
14983,Vigor,0.000000,0,0,1,1,0.000000,
2983,Sprint,0.000000,0,0,0,0,120.000000,
137619,Marked for Death,0.000000,0,30,0,0,60.000000,
79008,Elusiveness,0.000000,0,0,1,1,0.000000,
14161,Ruthlessness,0.000000,0,0,1,0,0.000000,
79096,Restless Blades,0.000000,0,0,1,0,0.000000,
76806,Mastery: Main Gauche,0.000000,0,0,1,0,0.000000,
256170,Loaded Dice,0.000000,0,0,1,1,0.000000,
61329,Combat Potency,0.000000,0,0,1,0,0.000000,
185311,Crimson Vial,0.000000,0,0,0,0,30.000000,ENERGY:30
272026,Dancing Steel,0.000000,0,0,1,1,0.000000,
199754,Riposte,0.000000,0,0,0,0,120.000000,
1776,Gouge,0.000000,0,0,0,0,15.000000,ENERGY:25
193315,Sinister Strike,0.000000,0,0,0,0,0.000000,ENERGY:45
1784,Stealth,0.000000,0,0,0,0,2.000000,
1725,Distract,0.000000,0,30,0,0,30.000000,ENERGY:30
57934,Tricks of the Trade,0.000000,0,100,0,0,30.000000,
114018,Shroud of Concealment,0.000000,0,0,0,0,360.000000,
6770,Sap,0.000000,0,10,0,0,0.000000,ENERGY:35
1804,Pick Lock,1.500000,0,5,0,0,0.000000,
193316,Roll the Bones,0.000000,0,100,0,0,0.000000,ENERGY:25;COMBO_POINTS:1
196938,Quick Draw,0.000000,0,0,1,1,0.000000,
195457,Grappling Hook,0.000000,0,40,0,0,60.000000,
56814,Detection,0.000000,0,0,0,0,0.000000,
269513,Death from Above,0.000000,0,15,0,0,30.000000,ENERGY:25;COMBO_POINTS:1
131511,Prey on the Weak,0.000000,0,0,1,1,0.000000,
193531,Deeper Stratagem,0.000000,0,0,1,1,0.000000,
31230,Cheat Death,0.000000,0,0,1,1,0.000000,
1966,Feint,0.000000,0,0,0,0,15.000000,ENERGY:35
196937,Ghostly Strike,0.000000,0,0,0,1,35.000000,ENERGY:30
256165,Blinding Powder,0.000000,0,0,1,1,0.000000,
200733,Weaponmaster,0.000000,0,0,1,1,0.000000,
1856,Vanish,0.000000,0,0,0,0,120.000000,
199804,Between the Eyes,0.000000,0,20,0,0,30.000000,ENERGY:25;COMBO_POINTS:1
185763,Pistol Shot,0.000000,0,20,0,0,0.000000,ENERGY:40
196922,Hit and Run,0.000000,0,0,1,1,0.000000,
31224,Cloak of Shadows,0.000000,0,0,0,0,120.000000,
5171,Slice and Dice,0.000000,0,100,0,1,0.000000,ENERGY:25;COMBO_POINTS:1
2094,Blind,0.000000,0,15,0,0,120.000000,
256188,Retractable Hook,0.000000,0,0,1,1,0.000000,
193358,Grand Melee,0.000000,0,0,1,0,0,
193357,Ruthless Precision,0,0,0,1,0,0,
193356,Broadside,0,0,0,1,0,0,
199603,Skull and Crossbones,0,0,0,1,0,0,
195627,Opportunity,0,0,0,1,0,0,
288988,Keep Your Wits About You,0,0,0,1,0,0,
272940,Deadshot,0,0,0,1,0,0,
275863,Snake Eyes,0,0,0,1,0,0,
108208,Subterfuge,0,0,0,0,1,0,
385616,Echoing Reprimand,0,0,0,0,1,45,ENERGY:10
385408,Sepsis,0,0,0,0,0,90,ENERGY:25
381982,Count The Odds,0,0,0,0,1,0,
343142,Dreadblades,0,0,0,0,1,120,ENERGY:40
381845,Audacity,0,0,0,0,1,0,
381990,Summarily Dispatched,0,0,0,0,1,0,
383281,Hidden Opportunity,0,0,0,0,1,0,
386823,Greenskins Wickers,0,0,0,0,1,0,
91023,Find Weakness,0,0,0,0,1,0,
