id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
394332,Reverberation,0,0,0,1,1,0,
31224,Cloak of Shadows,0,0,0,0,1,120,
378807,Shadowrunner,0,0,0,1,1,0,
31230,Cheat Death,0,0,0,1,1,0,
36554,Shadowstep,0,0,25,0,1,30,
378427,Nimble Fingers,0,0,0,1,1,0,
382015,The Rotten,0,0,0,1,1,0,
382238,Lethality,0,0,0,1,1,0,
382524,Lingering Shadow,0,0,0,1,1,0,
57934,Tricks of the Trade,0,0,100,0,1,30,
381637,Atrophic Poison,1500,0,0,0,1,0,
381542,Deadly Precision,0,0,0,1,1,0,
5277,Evasion,0,0,0,0,1,120,
381543,Virulent Poisons,0,0,0,1,1,0,
378813,Fleet Footed,0,0,0,1,1,0,
382528,Danse Macabre,0,0,0,1,1,0,
319949,Improved Backstab,0,0,0,1,1,0,
114014,Shuriken Toss,0,0,30,0,0,0,ENERGY:40;
1860,Safe Fall,0,0,0,1,0,0,
196924,Acrobatic Strikes,0,0,0,1,1,0,
379005,Blackjack,0,0,0,1,1,0,
394023,Improved Shadow Techniques,0,0,0,1,1,0,
394309,Swift Death,0,0,0,1,1,0,
343160,Premeditation,0,0,0,1,1,0,
319951,Improved Shuriken Storm,0,0,0,1,1,0,
14062,Nightstalker,0,0,0,1,1,0,
382245,Cold Blood,0,0,0,0,1,45,
315496,Slice and Dice,0,0,100,0,0,0,ENERGY:20;COMBO_POINTS:6;
1856,Vanish,0,0,0,0,0,120,
382017,Veiltouched,0,0,0,1,1,0,
378436,Master Poisoner,0,0,0,1,1,0,
1766,Kick,0,0,0,0,0,15,
53,Backstab,0,0,0,0,0,0,ENERGY:35;
1943,Rupture,0,0,0,0,0,0,ENERGY:22;COMBO_POINTS:6;
1776,Gouge,0,0,0,0,1,20,ENERGY:25;
257505,Shot in the Dark,0,0,0,1,1,0,
108208,Subterfuge,0,0,0,1,1,0,
121471,Shadow Blades,0,0,0,0,1,120,
1833,Cheap Shot,0,0,0,0,0,0,ENERGY:40;
1966,Feint,0,0,0,0,0,15,ENERGY:35;
319066,Improved Wound Poison,0,0,0,1,1,0,
378803,Rushed Setup,0,0,0,1,1,0,
382503,Quick Decisions,0,0,0,1,1,0,
1784,Stealth,0,0,0,0,0,2,
382507,Shrouded in Darkness,0,0,0,1,1,0,
384631,Flagellation,0,0,0,0,1,90,
382504,Dark Brew,0,0,0,1,1,0,
79008,Elusiveness,0,0,0,1,1,0,
385616,Echoing Reprimand,0,0,0,0,1,45,ENERGY:10;
382508,Planned Execution,0,0,0,1,1,0,
196912,Shadow Techniques,0,0,0,1,0,0,
137619,Marked for Death,0,0,30,0,1,60,
14983,Vigor,0,0,0,1,1,0,
2094,Blind,0,0,15,0,1,120,
196976,Master of Shadows,0,0,0,1,1,0,
382505,The First Dance,0,0,0,1,1,0,
280716,Leeching Poison,0,0,0,1,1,0,
91023,Find Weakness,0,0,0,1,1,0,
114018,Shroud of Concealment,0,0,0,0,0,360,
185313,Shadow Dance,0,0,0,0,1,60,
381620,Improved Ambush,0,0,0,1,1,0,
5938,Shiv,0,0,0,0,1,25,ENERGY:20;
921,Pick Pocket,0,0,10,0,0,0.5,
393970,Soothing Darkness,0,0,0,1,1,0,
76808,Mastery: Executioner,0,0,0,1,0,0,
381619,Thief's Versatility,0,0,0,1,1,0,
394320,Secret Stratagem,0,0,0,1,1,0,
382511,Shadowed Finishers,0,0,0,1,1,0,
280719,Secret Technique,0,0,0,0,1,60,ENERGY:27;COMBO_POINTS:6;
231719,Deadened Nerves,0,0,0,1,1,0,
381621,Tight Spender,0,0,0,1,1,0,
393972,Improved Shadow Dance,0,0,0,1,1,0,
185311,Crimson Vial,0,0,0,0,0,30,ENERGY:20;
6770,Sap,0,0,10,0,1,0,ENERGY:35;
381622,Resounding Clarity,0,0,0,1,1,0,
382512,Inevitability,0,0,0,1,1,0,
1804,Pick Lock,1500,0,5,0,0,0,
1725,Distract,0,0,30,0,0,30,ENERGY:30;
381623,Thistle Tea,0,0,0,0,1,60,
185438,Shadowstrike,0,0,0,0,0,0,ENERGY:40;
277925,Shuriken Tornado,0,0,0,0,1,60,ENERGY:60;
212283,Symbols of Death,0,0,0,0,0,30,
382513,Without a Trace,0,0,0,1,1,0,
231691,Improved Sprint,0,0,0,1,1,0,
200758,Gloomblade,0,0,0,0,1,0,ENERGY:35;
131511,Prey on the Weak,0,0,0,1,1,0,
382514,Fade to Nothing,0,0,0,1,1,0,
108209,Shadow Focus,0,0,0,1,1,0,
5761,Numbing Poison,1500,0,0,0,1,0,
193546,Iron Stomach,0,0,0,1,1,0,
382515,Cloaked in Shadows,0,0,0,1,1,0,
385722,Silent Storm,0,0,0,1,1,0,
196819,Eviscerate,0,0,0,0,0,0,ENERGY:32;COMBO_POINTS:6;
193531,Deeper Stratagem,0,0,0,1,1,0,
400804,Unbreakable Stride,0,0,0,1,1,0,
319175,Black Powder,0,0,0,0,1,0,ENERGY:32;COMBO_POINTS:6;
408,Kidney Shot,0,0,0,0,0,20,ENERGY:22;COMBO_POINTS:5;
197835,Shuriken Storm,0,0,0,0,0,0,ENERGY:35;
382517,Deeper Daggers,0,0,0,1,1,0,
382509,Stiletto Staccato,0,0,0,1,1,0,
14190,Seal Fate,0,0,0,1,1,0,
193537,Weaponmaster,0,0,0,1,1,0,
