id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
265046,Static Charge,0,0,0,1,1,60,
117014,Elemental Blast,1687,0,40,0,1,0,MANA:0;MAELSTROM:75;
188443,Chain Lightning,1476,0,40,0,1,0,MANA:500;
191634,Stormkeeper,1266,0,0,0,1,60,
378077,Spiritwalker's Aegis,0,0,0,1,1,0,
318038,Flametongue Weapon,0,0,0,0,0,0,
375982,Primordial Wave,0,0,40,0,1,45,MANA:1500;
60188,Elemental Fury,0,0,0,1,1,0,
381666,Focused Insight,0,0,0,1,1,0,
1064,Chain Heal,2109,0,40,0,1,0,MANA:0;MANA:37500;MANA:0;MANA:0;
378079,Enfeeblement,0,0,0,1,1,0,
378270,Deeply Rooted Elements,0,0,0,1,1,0,
77756,Lava Surge,0,0,0,1,1,0,
8004,Healing Surge,1266,0,40,0,0,0,MANA:0;MANA:25000;MANA:0;MANA:0;
378271,Elemental Equilibrium,0,0,0,1,1,0,
385923,Flow of Power,0,0,0,1,1,0,
381764,Primordial Bond,0,0,0,1,1,0,
382685,Unrelenting Calamity,0,0,0,1,1,0,
5394,Healing Stream Totem,0,0,0,0,1,0,MANA:0;MANA:12500;MANA:0;MANA:0;
51485,Earthgrab Totem,0,0,35,0,1,30,MANA:1250;
73899,Primal Strike,0,0,0,0,0,0,MANA:4700;
378241,Call of Thunder,0,0,0,1,1,0,
378779,Thundershock,0,0,0,1,1,0,
20608,Reincarnation,0,0,0,1,0,1800,
51505,Lava Burst,1687,0,40,0,1,8,MANA:1250;
58875,Spirit Walk,0,0,0,0,1,60,
384087,Echoes of Great Sundering,0,0,0,1,1,0,
57994,Wind Shear,0,0,30,0,1,12,
198067,Fire Elemental,0,0,40,0,1,150,MANA:2500;
381726,Mountains Will Fall,0,0,0,1,1,0,
974,Earth Shield,0,0,40,0,1,0,MANA:0;MANA:12500;MANA:0;
378211,Refreshing Waters,0,0,0,1,1,0,
370,Purge,0,0,30,0,1,0,MANA:0;MANA:35000;MANA:0;
108285,Totemic Recall,0,0,0,0,1,180,
382086,Electrified Shocks,0,0,0,1,1,0,
8143,Tremor Totem,0,0,0,0,1,60,MANA:1150;
51490,Thunderstorm,0,0,0,0,1,30,
191861,Power of the Maelstrom,0,0,0,1,1,0,
381743,Tumultuous Fissures,0,0,0,1,1,0,
210689,Lightning Rod,0,0,0,1,1,0,
546,Water Walking,0,0,30,0,0,0,
2825,Bloodlust,0,0,0,0,0,300,MANA:1000;
381707,Swelling Maelstrom,0,0,0,1,1,0,
378310,Skybreaker's Fiery Demise,0,0,0,1,1,0,
2008,Ancestral Spirit,8437,0,40,0,0,0,MANA:2000;
381930,Mana Spring,0,0,0,1,1,0,
381708,Eye of the Storm,0,0,0,1,1,0,
381867,Totemic Surge,0,0,0,1,1,0,
382042,Splintered Elements,0,0,0,1,1,0,
382947,Ancestral Defense,0,0,0,1,1,0,
381650,Elemental Warding,0,0,0,1,1,0,
