id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
30884,Nature's Guardian,0.000000,0,0,1,1,0.000000,
197214,Sundering,0.000000,0,0,0,1,40.000000,MAELSTROM:20
262395,Totem Mastery,0.000000,0,40,0,0,0.000000,
6196,Far Sight,1.837000,0,50000,0,0,0.000000,
201900,Hot Hand,0.000000,0,0,1,1,0.000000,
201845,Stormbringer,0.000000,0,0,1,0,0.000000,
77223,Mastery: Enhanced Elements,0.000000,0,0,1,0,0.000000,
196884,Feral Lunge,0.000000,8,25,0,1,30.000000,
192246,Crashing Storm,0.000000,0,0,1,1,0.000000,
974,Earth Shield,0.000000,0,40,0,1,0.000000,
114051,Ascendance,0.000000,0,0,0,1,180.000000,
33757,Windfury,0.000000,0,0,1,0,0.000000,
370,Purge,0.000000,0,30,0,0,0.000000,MANA:2000
192058,Capacitor Totem,0.000000,0,40,0,0,60.000000,
108271,Astral Shift,0.000000,0,0,0,0,90.000000,
2825,Bloodlust,0.000000,0,0,0,0,300.000000,
260878,Spirit Wolf,0.000000,0,0,1,1,0.000000,
265046,Static Charge,0.000000,0,0,1,1,0.000000,
192106,Lightning Shield,0.000000,0,0,0,0,0.000000,
17364,Stormstrike,0.000000,0,0,0,0,9.000000,MAELSTROM:30
2645,Ghost Wolf,0.000000,0,0,0,0,0.000000,
2008,Ancestral Spirit,9.183000,0,40,0,0,0.000000,
246035,Boulderfist,0.000000,0,0,1,1,0.000000,
262624,Elemental Spirits,0.000000,0,100,1,1,0.000000,
188089,Earthen Spike,0.000000,0,10,0,1,20.000000,MAELSTROM:20
58875,Spirit Walk,0.000000,0,0,0,0,60.000000,
187837,Lightning Bolt,0.000000,0,40,0,0,0.000000,MAELSTROM:0
197211,Fury of Air,0.000000,0,0,0,1,0.000000,MAELSTROM:3
57994,Wind Shear,0.000000,0,30,0,0,12.000000,
8143,Tremor Totem,0.000000,0,0,0,0,60.000000,
51514,Hex,1.561000,0,30,0,0,30.000000,
192077,Wind Rush Totem,0.000000,0,40,0,0,120.000000,
193786,Rockbiter,0.000000,0,20,0,0,5.500000,
188070,Healing Surge,1.837000,0,40,0,0,0.000000,
187880,Maelstrom Weapon,0.000000,0,0,1,0,0.000000,
196834,Frostbrand,0.000000,0,20,0,0,0.000000,MAELSTROM:20
60103,Lava Lash,0.000000,0,0,0,0,0.000000,MAELSTROM:40
546,Water Walking,0.000000,0,30,0,0,0.000000,
197992,Landslide,0.000000,0,0,1,1,0.000000,
193796,Flametongue,0.000000,0,20,0,0,12.000000,
210853,Hailstorm,0.000000,0,0,1,1,0.000000,
2484,Earthbind Totem,0.000000,0,40,0,0,30.000000,
556,Astral Recall,9.183000,0,0,0,0,600.000000,
20608,Reincarnation,0.000000,0,0,1,0,0.000000,
198103,Earth Elemental,0.000000,0,40,0,0,300.000000,
262647,Forceful Winds,0.000000,0,100,1,1,0.000000,
51886,Cleanse Spirit,0.000000,0,40,0,0,8.000000,
210727,Overcharge,0.000000,0,0,1,1,0.000000,
192087,Searing Assault,0.000000,0,0,1,1,0.000000,
187874,Crash Lightning,0.000000,0,0,0,0,6.000000,MAELSTROM:20
51533,Feral Spirit,0.000000,0,30,0,0,120.000000,
