id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
267214,Sacrificed Souls,0.000000,0,100,1,1,0.000000,
219272,Demon Skin,0.000000,0,0,1,1,0.000000,
215941,Soul Conduit,0.000000,0,0,1,1,0.000000,
267215,Demonic Consumption,0.000000,0,100,1,1,0.000000,
77219,Mastery: Master Demonologist,0.000000,0,0,1,0,0.000000,
710,Banish,1.321000,0,30,0,0,0.000000,
205145,Demonic Calling,0.000000,0,0,1,1,0.000000,
246985,Soul Shards,0.000000,0,0,1,0,0.000000,
111771,Demonic Gateway,1.761000,10,40,0,0,10.000000,
267170,From the Shadows,0.000000,0,40,1,1,0.000000,
264178,Demonbolt,3.963000,0,40,0,0,0.000000,
29893,Create Soulwell,2.642000,0,30,0,0,120.000000,
265187,Summon Demonic Tyrant,1.761000,0,40,0,0,90.000000,
6201,Create Healthstone,2.642000,0,0,0,0,0.000000,
1098,Enslave Demon,2.642000,0,30,0,0,0.000000,
264874,Darkfury,0.000000,0,0,1,1,0.000000,
111898,Grimoire: Felguard,0.000000,0,40,0,0,120.000000,SOUL_SHARDS:1
30283,Shadowfury,1.321000,0,35,0,0,60.000000,
264119,Summon Vilefiend,1.761000,0,40,0,0,45.000000,SOUL_SHARDS:1
267171,Demonic Strength,0.000000,0,100,0,1,60.000000,
108416,Dark Pact,0.000000,0,0,0,1,60.000000,
108370,Soul Leech,0.000000,0,0,1,0,0.000000,
264057,Soul Strike,0.000000,0,50,0,1,10.000000,
288843,Demonic Embrace,0.000000,0,0,1,0,0.000000,
265412,Doom,0.000000,0,40,0,1,0.000000,
267102,Demonic Core,0.000000,0,100,1,0,0.000000,
119898,Command Demon,0.000000,0,0,0,0,0.000000,
268358,Demonic Circle,0.440000,0,0,0,1,10.000000,
5697,Unending Breath,0.000000,0,30,0,0,0.000000,
20707,Soulstone,2.642000,0,40,0,0,600.000000,
234153,Drain Life,0.000000,0,40,0,0,0.000000,
6789,Mortal Coil,0.000000,0,20,0,1,45.000000,
101508,The Codex of Xerrath,0.000000,0,0,1,0,0.000000,
698,Ritual of Summoning,0.000000,0,30,0,0,120.000000,
196277,Implosion,0.000000,0,40,0,0,0.000000,
5782,Fear,1.497000,0,30,0,0,0.000000,
755,Health Funnel,0.000000,0,45,0,0,0.000000,
105174,Hand of Gul'dan,1.321000,0,40,0,0,0.000000,SOUL_SHARDS:1
267211,Bilescourge Bombers,0.000000,0,40,0,1,30.000000,SOUL_SHARDS:2
126,Eye of Kilrogg,1.761000,0,50000,0,0,0.000000,
267216,Inner Demons,0.000000,0,100,1,1,0.000000,
104316,Call Dreadstalkers,1.761000,0,40,0,0,20.000000,SOUL_SHARDS:2
108415,Soul Link,0.000000,0,100,1,0,0.000000,
264078,Dreadlash,0.000000,0,40,1,1,0.000000,
686,Shadow Bolt,1.761000,0,40,0,0,0.000000,
104773,Unending Resolve,0.000000,0,0,0,0,180.000000,
48018,Demonic Circle,0.440000,0,0,0,0,10.000000,
48020,Demonic Circle: Teleport,0.000000,0,40,0,0,30.000000,
111400,Burning Rush,0.000000,0,0,0,1,0.000000,
264130,Power Siphon,0.000000,0,100,0,1,30.000000,
267217,Nether Portal,2.202000,0,40,0,1,180.000000,SOUL_SHARDS:1
321792,Impending Catastrophe,2,0,40,0,0,120,
325289,Decimating Bolt,2.5,0,40,0,0,45,
325640,Soul Rot,1.5,0,40,0,0,60,
312321,Scouring Tithe,2,0,40,0,0,40,
264119,sss,1,0,40,0,1,45,SOUL_SHARDS:1
264119,Summon Vilefiend,1.761000,0,40,0,0,45.000000,SOUL_SHARDS:1
10060,Power Infusion,0,0,40,0,1,120,
334585,Soulbound Tyrant,0,0,0,0,1,0,
385899,Soulburn,0,0,0,0,1,6,SOUL_SHARDS:1
386833,Guillotine,0,0,40,0,1,45,
387600,The Expendables,0,0,0,0,1,0,
