id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
355,Taunt,0.000000,0,30,0,0,8.000000,
215571,Frothing Berserker,0.000000,0,0,1,1,0.000000,
34428,Victory Rush,0.000000,0,0,0,0,0.000000,
202168,Impending Victory,0.000000,0,0,0,1,30.000000,RAGE:10
202751,Reckless Abandon,0.000000,0,0,1,1,0.000000,
6544,Heroic Leap,0.000000,8,40,0,0,0.800000,
118000,Dragon Roar,0.000000,0,0,0,1,35.000000,
202224,Furious Charge,0.000000,0,0,1,1,0.000000,
208154,Warpaint,0.000000,0,0,1,1,0.000000,
46924,Bladestorm,0.000000,0,0,0,0,60.000000,
107570,Storm Bolt,0.000000,0,20,0,1,30.000000,
215573,Inner Rage,0.000000,0,0,1,1,0.000000,
6673,Battle Shout,0.000000,0,0,0,0,15.000000,
202296,Endless Rage,0.000000,0,0,1,1,0.000000,
18499,Berserker Rage,0.000000,0,0,0,0,60.000000,
202163,Bounding Stride,0.000000,0,0,1,1,0.000000,
280721,Sudden Death,0.000000,0,0,1,1,0.000000,
262231,War Machine,0.000000,0,0,1,1,0.000000,
46917,Titan's Grip,0.000000,0,0,1,0,0.000000,
6552,Pummel,0.000000,0,0,0,0,15.000000,
103827,Double Time,0.000000,0,0,1,1,0.000000,
215568,Fresh Meat,0.000000,0,0,1,1,0.000000,
280392,Meat Cleaver,0.000000,0,0,1,1,0.000000,
57755,Heroic Throw,0.000000,8,30,0,0,6.000000,
5246,Intimidating Shout,0.000000,0,8,0,0,90.000000,
100130,Furious Slash,0.000000,0,0,0,1,0.000000,
76856,Mastery: Unshackled Fury,0.000000,0,0,1,0,0.000000,
97462,Rallying Cry,0.000000,0,0,0,0,180.000000,
190411,Whirlwind,0.000000,0,0,0,0,0.000000,
1719,Recklessness,0.000000,0,0,0,0,90.000000,
280772,Siegebreaker,0.000000,0,0,0,1,30.000000,
202922,Carnage,0.000000,0,0,1,1,0.000000,
152278,Anger Management,0.000000,0,0,1,1,0.000000,
184367,Rampage,0.000000,0,0,0,0,0.000000,RAGE:75
184361,Enrage,0.000000,0,0,1,0,0.000000,
85288,Raging Blow,0.000000,0,0,0,0,7,
12323,Piercing Howl,0.000000,0,0,0,0,0.000000,RAGE:10
5308,Execute,0.000000,0,0,0,0,6.000000,
206315,Massacre,0.000000,0,0,1,1,0.000000,
184364,Enraged Regeneration,0.000000,0,0,0,0,120.000000,
23881,Bloodthirst,0.000000,0,0,0,0,4.500000,
100,Charge,0.000000,8,25,0,0,1.500000,
330334,Condemn,0,0,0,0,0,6,RAGE:20
337302,Vicious Contempt,0,0,0,1,0,0,
335070,Cruelty,0,0,0,0,1,0,
315720,Onslaught,0,0,0,0,1,12,
335077,Frenzy,0,0,0,1,1,0,
107574,Avatar,0,0,0,0,1,90,
113344,Bloodbath,0,0,100,0,0,0,
12950,Improved Whirlwind,0,0,0,0,1,0,
1464,Slam,0,0,0,0,0,0,RAGE:20
228920,Ravager,0,0,0,0,1,90,
376079,Spear Of Bastion,0,0,0,0,0,90,
392536,Ashen Juggernaut,0,0,0,0,1,0,
383916,Annihilator,0,0,0,0,1,0,
388933,Tenderize,0,0,0,0,1,0,
409983,Tier30_4pc,0,0,0,0,0,0,
