id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs
3411,Intervene,0,0,25,0,1,30,
280001,Bolster,0,0,0,1,1,0,
275334,Punish,0,0,0,1,1,0,
46968,Shockwave,0,0,0,0,1,40,
384110,Wrecking Throw,0,0,30,0,1,45,
385952,Shield Charge,0,0,25,0,1,45,
391572,Uproar,0,0,0,1,1,0,
383762,Bitter Immunity,0,0,0,0,1,180,
275336,Unstoppable Force,0,0,0,1,1,0,
384969,Thunderous Words,0,0,0,1,1,0,
386208,Defensive Stance,0,0,0,0,1,3,
1160,Demoralizing Shout,0,0,0,0,1,45,
203177,Heavy Repercussions,0,0,0,1,1,0,
275338,Menace,0,0,0,1,1,0,
382939,Reinforced Plates,0,0,0,1,1,0,
275339,Rumbling Earth,0,0,0,1,1,0,
382940,Endurance Training,0,0,0,1,1,0,
107570,Storm Bolt,0,0,20,0,1,30,
115768,Deep Wounds,0,0,0,1,0,0,
1715,Hamstring,0,0,0,0,0,0,RAGE:10;
386394,Battle-Scarred Veteran,0,0,0,1,1,0,
1161,Challenging Shout,0,0,0,0,1,120,
23920,Spell Reflection,0,0,0,0,1,20,
23922,Shield Slam,0,0,0,0,0,9,
202163,Bounding Stride,0,0,0,1,1,0,
202560,Best Served Cold,0,0,0,1,1,0,
1464,Slam,0,0,0,0,0,0,RAGE:20;
871,Shield Wall,0,0,0,0,1,180,
384404,Sidearm,0,0,0,1,1,0,
236279,Devastator,0,0,0,1,1,0,
384277,Blood and Thunder,0,0,0,1,1,0,
385888,Tough as Nails,0,0,0,1,1,0,
383103,Fueled by Violence,0,0,0,1,1,0,
394311,Instigate,0,0,0,1,1,0,
397103,Defender's Aegis,0,0,0,1,1,0,
382310,Inspiring Presence,0,0,0,1,1,0,
385704,Bloodborne,0,0,0,1,1,0,
394312,Battering Ram,0,0,0,1,1,0,
6552,Pummel,0,0,0,0,0,15,
382946,Wild Strikes,0,0,0,1,1,0,
390725,Sonic Boom,0,0,0,1,1,0,
6544,Heroic Leap,0,8,40,0,1,45,
18499,Berserker Rage,0,0,0,0,1,60,
384090,Titanic Throw,0,8,30,0,1,8,
386027,Enduring Defenses,0,0,0,1,1,0,
392790,Frothing Berserker,0,0,0,1,1,0,
393965,Dance of Death,0,0,0,1,1,0,
382948,Piercing Verdict,0,0,0,1,1,0,
355,Taunt,0,0,30,0,0,8,
386328,Champion's Bulwark,0,0,0,1,1,0,
394855,Armored to the Teeth,0,0,0,1,1,0,
71,Vanguard,0,0,0,1,0,0,
281001,Massacre,0,0,0,1,1,0,
394062,Rend,0,0,0,0,1,0,RAGE:30;
393967,Juggernaut,0,0,100,1,1,0,
386285,Elysian Might,0,0,0,1,1,0,
386030,Brace For Impact,0,0,0,1,1,0,
6572,Revenge,0,0,0,0,1,0,RAGE:20;
385840,Thunderlord,0,0,0,1,1,0,
382953,Storm of Steel,0,0,0,1,1,0,
29838,Second Wind,0,0,0,1,1,0,
384318,Thunderous Roar,0,0,0,0,1,90,
384063,Enduring Alacrity,0,0,0,1,1,0,
29725,Sudden Death,0,0,0,1,1,0,
202168,Impending Victory,0,0,0,0,1,25,RAGE:10;
391271,Honed Reflexes,0,0,0,1,1,0,
386477,Violent Outburst,0,0,0,1,1,0,
12323,Piercing Howl,0,0,0,0,1,30,
392777,Cruel Strikes,0,0,0,1,1,0,
401150,Avatar,0,0,0,0,1,90,
385843,Show of Force,0,0,0,1,1,0,
382954,Cacophonous Roar,0,0,0,1,1,0,
386034,Improved Heroic Throw,0,0,0,1,1,0,
203201,Crackling Thunder,0,0,0,1,1,0,
390354,Furious Blows,0,0,0,1,1,0,
64382,Shattering Throw,1500,0,30,0,1,180,
386164,Battle Stance,0,0,0,0,1,3,
5246,Intimidating Shout,0,0,8,0,1,90,
384067,Focused Vigor,0,0,0,1,1,0,
382956,Seismic Reverberation,0,0,0,1,1,0,
383115,Concussive Blows,0,0,0,1,1,0,
384036,Brutal Vitality,0,0,0,1,1,0,
228920,Ravager,0,0,40,0,1,90,
384100,Berserker Shout,0,0,0,0,1,60,
12975,Last Stand,0,0,0,0,1,180,
382767,Overwhelming Rage,0,0,0,1,1,0,
376079,Spear of Bastion,0,0,25,0,1,90,
97462,Rallying Cry,0,0,0,0,1,180,
390675,Barbaric Training,0,0,0,1,1,0,
390642,Crushing Force,0,0,0,1,1,0,
382895,One-Handed Weapon Specialization,0,0,0,1,1,0,
382260,Fast Footwork,0,0,0,1,1,0,
202743,Booming Voice,0,0,0,1,1,0,
386071,Disrupting Shout,0,0,0,0,1,90,
190456,Ignore Pain,0,0,0,0,1,1,RAGE:0;RAGE:0;RAGE:35;RAGE:0;
382258,Leeching Strikes,0,0,0,1,1,0,
